,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,217,79208.01,365.01,,28,9969.34,356.05,,46,15784.90,343.15,,1,662.00,662,,140,52092.77,372.09,,0,0.00,0,,2,699.00,349.5,,
1,,169,64596.91,382.23,,13,5310.85,408.53,,35,13492.00,385.49,,3,976.00,325.33,,116,44199.06,381.03,,0,0.00,0,,2,619.00,309.5,,
2,,108,36867.33,341.36,,14,4702.15,335.87,,22,7132.00,324.18,,3,1392.00,464,,69,23641.18,342.63,,0,0.00,0,,0,0.00,0,,
3,,67,21064.22,314.39,,5,1817.71,363.54,,15,4237.94,282.53,,1,434.00,434,,46,14574.57,316.84,,0,0.00,0,,0,0.00,0,,
4,,61,20531.42,336.58,,4,997.28,249.32,,13,3988.00,306.77,,1,277.00,277,,43,15269.14,355.1,,0,0.00,0,,0,0.00,0,,
5,,67,26949.12,402.23,,12,4352.85,362.74,,13,5543.71,426.44,,0,0.00,0,,42,17052.56,406.01,,0,0.00,0,,0,0.00,0,,
6,,563,215763.41,383.24,,52,21236.98,408.4,,96,35834.72,373.28,,4,1153.00,288.25,,411,157538.71,383.31,,0,0.00,0,,0,0.00,0,,
7,,1070,403231.41,376.85,,99,39870.99,402.74,,173,59816.70,345.76,,4,1347.00,336.75,,793,301961.72,380.78,,0,0.00,0,,1,235.00,235,,
8,,1282,493660.25,385.07,,167,69942.88,418.82,,202,73427.28,363.5,,4,887.00,221.75,,908,348957.09,384.31,,0,0.00,0,,1,446.00,446,,
9,,1401,557648.6,398.04,,158,74747.86,473.09,,249,95094.29,381.9,,3,1117.00,372.33,,989,386187.45,390.48,,0,0.00,0,,2,502.00,251,,
10,,1151,526443.01,457.38,,161,83996.76,521.72,,201,87257.60,434.12,,4,1256.00,314,,779,352531.65,452.54,,0,0.00,0,,6,1401.00,233.5,,
11,,1464,659756.74,450.65,,208,113512.73,545.73,,257,112135.64,436.33,,13,5223.00,401.77,,983,428019.37,435.42,,0,0.00,0,,3,866.00,288.67,,
12,,1185,506190.64,427.17,,139,66817.86,480.7,,212,87320.89,411.89,,10,3477.00,347.7,,821,347305.89,423.03,,0,0.00,0,,3,1269.00,423,,
13,,956,434826.27,454.84,,116,70993.99,612.02,,179,73110.45,408.44,,2,506.00,253,,657,289453.83,440.57,,0,0.00,0,,2,762.00,381,,
14,,1192,555030.66,465.63,,155,83992.20,541.89,,208,96163.05,462.32,,6,2102.00,350.33,,820,370388.41,451.69,,0,0.00,0,,3,2385.00,795,,
15,,1309,625063.61,477.51,,177,100659.18,568.7,,215,94926.27,441.52,,8,4394.00,549.25,,903,422967.16,468.4,,0,0.00,0,,6,2117.00,352.83,,
16,,1291,606901.96,470.1,,159,82246.12,517.27,,269,114036.47,423.93,,5,2814.00,562.8,,850,404779.37,476.21,,0,0.00,0,,8,3026.00,378.25,,
17,,1094,520501.77,475.78,,173,84342.99,487.53,,159,73193.04,460.33,,9,4269.00,474.33,,750,357167.74,476.22,,0,0.00,0,,3,1529.00,509.67,,
18,,1110,506472.92,456.28,,171,72338.60,423.03,,160,80226.62,501.42,,12,6823.00,568.58,,764,346091.70,453,,0,0.00,0,,3,993.00,331,,
19,,921,396002.35,429.97,,135,60282.21,446.53,,145,56873.28,392.23,,5,3460.00,692,,631,271733.86,430.64,,0,0.00,0,,5,3653.00,730.6,,
20,,672,275065.79,409.32,,95,37306.81,392.7,,112,45343.49,404.85,,9,8703.00,967,,454,183273.49,403.69,,0,0.00,0,,2,439.00,219.5,,
21,,606,239224.33,394.76,,83,35736.21,430.56,,99,36128.56,364.93,,4,2038.00,509.5,,418,164869.56,394.42,,0,0.00,0,,2,452.00,226,,
22,,482,186930.57,387.82,,51,19917.26,390.53,,79,27546.57,348.69,,8,2486.00,310.75,,342,136549.74,399.27,,0,0.00,0,,2,431.00,215.5,,
23,,347,134955.8,388.92,,41,16361.70,399.07,,64,23618.42,369.04,,2,872.00,436,,239,93823.68,392.57,,0,0.00,0,,1,280.00,280,,
,,18785,8092887.1,430.82,,2416,1161453.51,480.73,,3223,1322231.89,410.25,,121,56668,468.33,,12968,5530429.7,426.47,,0,0,0,,57,22104,387.79,,
