,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,256,95522.63,373.14,,26,11295.02,434.42,,47,15206.29,323.54,,2,463.00,231.5,,180,68232.32,379.07,,0,0.00,0,,1,326.00,326,,
1,,160,59607.71,372.55,,15,6040.72,402.71,,25,8928.00,357.12,,3,931.00,310.33,,117,43707.99,373.57,,0,0.00,0,,0,0.00,0,,
2,,105,37682.55,358.88,,8,2866.08,358.26,,34,12434.32,365.72,,2,357.00,178.5,,61,22025.15,361.07,,0,0.00,0,,0,0.00,0,,
3,,76,26421.91,347.66,,7,2220.75,317.25,,11,4486.29,407.84,,1,189.00,189,,57,19525.87,342.56,,0,0.00,0,,0,0.00,0,,
4,,53,19642.16,370.61,,5,1965.58,393.12,,14,6291.15,449.37,,0,0.00,0,,34,11385.43,334.87,,0,0.00,0,,0,0.00,0,,
5,,79,29549,374.04,,10,3967.43,396.74,,11,3900.00,354.55,,1,200.00,200,,57,21481.57,376.87,,0,0.00,0,,0,0.00,0,,
6,,274,106548.96,388.86,,50,18764.54,375.29,,30,12502.00,416.73,,1,320.00,320,,193,74962.42,388.41,,0,0.00,0,,0,0.00,0,,
7,,466,185418.37,397.89,,79,29337.81,371.36,,64,23992.42,374.88,,1,677.00,677,,320,130946.14,409.21,,0,0.00,0,,2,465.00,232.5,,
8,,611,258293.35,422.74,,94,39611.91,421.4,,87,36482.27,419.34,,3,839.00,279.67,,427,181360.17,424.73,,0,0.00,0,,0,0.00,0,,
9,,657,279007.71,424.67,,88,37497.86,426.11,,94,35603.27,378.76,,6,2125.00,354.17,,467,202858.58,434.39,,0,0.00,0,,2,923.00,461.5,,
10,,841,410625.3,488.26,,97,45769.82,471.85,,123,55058.46,447.63,,7,4776.00,682.29,,611,303169.02,496.18,,0,0.00,0,,3,1852.00,617.33,,
11,,727,363397.06,499.86,,92,58678.54,637.81,,123,60619.05,492.84,,4,2492.00,623,,506,240366.47,475.03,,0,0.00,0,,2,1241.00,620.5,,
12,,71,30939.01,435.76,,11,4469.15,406.29,,13,4690.00,360.77,,0,0.00,0,,46,21585.86,469.26,,0,0.00,0,,1,194.00,194,,
13,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
14,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
15,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
16,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
17,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
18,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,4376,1902655.72,434.79,,582,262485.21,451.01,,676,280193.52,414.49,,31,13369,431.26,,3076,1341606.99,436.15,,0,0,0,,11,5001,454.64,,
