,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,248,93394.7,376.59,,29,10723.77,369.79,,51,19665.14,385.59,,1,487.00,487,,166,62214.79,374.79,,0,0.00,0,,1,304.00,304,,
1,,164,60268.18,367.49,,19,6190.95,325.84,,33,13570.23,411.22,,1,257.00,257,,110,40073.00,364.3,,0,0.00,0,,1,177.00,177,,
2,,140,46866.3,334.76,,17,4990.43,293.55,,38,13399.58,352.62,,0,0.00,0,,85,28476.29,335.02,,0,0.00,0,,0,0.00,0,,
3,,76,23185.86,305.08,,10,3276.71,327.67,,17,6150.15,361.77,,1,251.00,251,,48,13508.00,281.42,,0,0.00,0,,0,0.00,0,,
4,,59,19548.42,331.33,,11,3656.71,332.43,,9,2552.28,283.59,,0,0.00,0,,39,13339.43,342.04,,0,0.00,0,,0,0.00,0,,
5,,61,25498.41,418.01,,12,3029.84,252.49,,15,4356.14,290.41,,0,0.00,0,,34,18112.43,532.72,,0,0.00,0,,0,0.00,0,,
6,,220,86674.14,393.97,,42,18524.42,441.06,,28,9152.29,326.87,,1,192.00,192,,149,58805.43,394.67,,0,0.00,0,,0,0.00,0,,
7,,501,190812.3,380.86,,98,38672.72,394.62,,79,31299.28,396.19,,2,679.00,339.5,,322,120161.30,373.17,,0,0.00,0,,0,0.00,0,,
8,,742,305578.72,411.83,,143,71800.86,502.1,,155,55452.28,357.76,,2,685.00,342.5,,440,177354.58,403.08,,0,0.00,0,,2,286.00,143,,
9,,718,284675.22,396.48,,147,60988.15,414.89,,114,46127.14,404.62,,3,849.00,283,,453,176244.93,389.06,,0,0.00,0,,1,466.00,466,,
10,,692,310525.72,448.74,,109,59872.29,549.29,,170,67023.14,394.25,,4,2310.00,577.5,,409,181320.29,443.33,,0,0.00,0,,0,0.00,0,,
11,,24,9167.86,381.99,,1,275.00,275,,3,878.00,292.67,,0,0.00,0,,20,8014.86,400.74,,0,0.00,0,,0,0.00,0,,
12,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
13,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
14,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
15,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
16,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
17,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
18,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,3645,1456195.83,399.51,,638,282001.85,442.01,,712,269625.65,378.69,,15,5710,380.67,,2275,897625.33,394.56,,0,0,0,,5,1233,246.6,,
