,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,257,96856.07,376.87,,25,9854.50,394.18,,43,15811.28,367.7,,4,1607.00,401.75,,184,69197.29,376.07,,0,0.00,0,,1,386.00,386,,
1,,207,78336.95,378.44,,18,6236.36,346.46,,37,14952.86,404.13,,1,355.00,355,,150,56594.73,377.3,,0,0.00,0,,1,198.00,198,,
2,,135,46274.58,342.77,,10,2690.73,269.07,,27,11496.85,425.81,,3,1187.00,395.67,,95,30900.00,325.26,,0,0.00,0,,0,0.00,0,,
3,,79,27322.05,345.85,,9,2651.15,294.57,,21,7763.57,369.69,,2,680.00,340,,47,16227.33,345.26,,0,0.00,0,,0,0.00,0,,
4,,72,23648.64,328.45,,10,2134.85,213.49,,18,8285.07,460.28,,0,0.00,0,,44,13228.72,300.65,,0,0.00,0,,0,0.00,0,,
5,,73,28163.44,385.8,,10,3456.01,345.6,,13,5824.29,448.02,,0,0.00,0,,50,18883.14,377.66,,0,0.00,0,,0,0.00,0,,
6,,266,94511.72,355.31,,56,23247.16,415.13,,36,13249.00,368.03,,2,371.00,185.5,,172,57644.56,335.14,,0,0.00,0,,0,0.00,0,,
7,,499,192186.6,385.14,,79,34715.01,439.43,,74,25987.86,351.19,,4,1210.00,302.5,,342,130273.73,380.92,,0,0.00,0,,0,0.00,0,,
8,,717,277275.9,386.72,,99,37962.16,383.46,,134,49517.56,369.53,,9,3813.00,423.67,,474,185592.18,391.54,,0,0.00,0,,1,391.00,391,,
9,,698,275656.15,394.92,,96,38816.58,404.34,,111,43167.17,388.89,,9,2112.00,234.67,,481,191424.40,397.97,,0,0.00,0,,1,136.00,136,,
10,,1496,793753.07,530.58,,188,107089.51,569.63,,576,351668.60,610.54,,12,4542.00,378.5,,717,329255.96,459.21,,0,0.00,0,,3,1197.00,399,,
11,,1646,804539.3,488.78,,221,117388.12,531.17,,363,208087.14,573.24,,16,8481.00,530.06,,1038,468132.04,450.99,,0,0.00,0,,8,2451.00,306.38,,
12,,1128,475126.07,421.21,,146,59857.43,409.98,,207,93461.76,451.51,,12,3880.00,323.33,,760,317303.88,417.51,,0,0.00,0,,3,623.00,207.67,,
13,,933,417828.01,447.83,,97,50269.79,518.25,,161,73931.66,459.2,,14,4493.00,320.93,,656,285952.13,435.9,,0,0.00,0,,5,3181.43,636.29,,
14,,1368,661439.58,483.51,,139,75836.66,545.59,,195,84170.41,431.64,,14,7525.00,537.5,,1015,491944.51,484.67,,0,0.00,0,,5,1963.00,392.6,,
15,,1481,747866.25,504.97,,157,80584.05,513.27,,242,119468.43,493.67,,28,12588.00,449.57,,1049,533122.77,508.22,,0,0.00,0,,5,2103.00,420.6,,
16,,1353,665736.66,492.04,,151,75982.63,503.2,,232,111710.46,481.51,,16,5167.00,322.94,,949,470658.57,495.95,,0,0.00,0,,5,2218.00,443.6,,
17,,984,503101.59,511.28,,137,79123.49,577.54,,136,65344.97,480.48,,16,6216.00,388.5,,692,351584.84,508.07,,0,0.00,0,,3,832.29,277.43,,
18,,332,146853.47,442.33,,47,24890.13,529.58,,54,23300.14,431.48,,12,4776.00,398,,218,93337.20,428.15,,0,0.00,0,,1,550.00,550,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,13724,6356476.1,463.16,,1695,832786.32,491.32,,2680,1327199.08,495.22,,174,69003,396.57,,9133,4111257.98,450.15,,0,0,0,,42,16229.72,386.42,,
