,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,252,91603.41,363.51,,22,9466.56,430.3,,50,16945.28,338.91,,10,3667.00,366.7,,169,61175.57,361.99,,0,0.00,0,,1,349.00,349,,
1,,171,59626.31,348.69,,19,6356.94,334.58,,42,15681.72,373.37,,3,1127.00,375.67,,105,35828.65,341.23,,0,0.00,0,,2,632.00,316,,
2,,96,32739.85,341.04,,10,2773.28,277.33,,20,6237.86,311.89,,3,1342.00,447.33,,62,22197.71,358.03,,0,0.00,0,,1,189.00,189,,
3,,51,18223.56,357.32,,3,1015.42,338.47,,9,3420.00,380,,1,379.00,379,,38,13409.14,352.87,,0,0.00,0,,0,0.00,0,,
4,,64,19127.55,298.87,,9,3189.70,354.41,,16,4807.57,300.47,,1,331.00,331,,38,10799.28,284.19,,0,0.00,0,,0,0.00,0,,
5,,74,28878.86,390.25,,8,1871.14,233.89,,12,4079.58,339.97,,0,0.00,0,,54,22928.14,424.6,,0,0.00,0,,0,0.00,0,,
6,,246,100196.1,407.3,,50,23682.53,473.65,,30,13087.72,436.26,,5,1718.00,343.6,,161,61707.85,383.28,,0,0.00,0,,0,0.00,0,,
7,,522,189070.8,362.2,,90,31749.84,352.78,,102,35467.29,347.72,,13,3219.00,247.62,,317,118634.67,374.24,,0,0.00,0,,0,0.00,0,,
8,,653,247066.97,378.36,,100,39633.19,396.33,,106,37980.13,358.3,,2,414.00,207,,445,169039.65,379.86,,0,0.00,0,,0,0.00,0,,
9,,446,170856.23,383.09,,64,25697.25,401.52,,74,24751.12,334.47,,9,3621.00,402.33,,299,116786.86,390.59,,0,0.00,0,,0,0.00,0,,
10,,7,2588.86,369.84,,2,421.57,210.79,,1,243.00,243,,1,497.00,497,,3,1427.29,475.76,,0,0.00,0,,0,0.00,0,,
11,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
12,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
13,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
14,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
15,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
16,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
17,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
18,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,2582,959978.5,371.8,,377,145857.42,386.89,,462,162701.27,352.17,,48,16315,339.9,,1691,633934.81,374.89,,0,0,0,,4,1170,292.5,,
