,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,221,88263.89,399.38,,22,9502.69,431.94,,43,16536.75,384.58,,1,191.00,191,,153,60774.45,397.22,,0,0.00,0,,2,1259.00,629.5,,
1,,137,47807.42,348.96,,19,5877.84,309.36,,22,6847.71,311.26,,1,251.00,251,,95,34830.87,366.64,,0,0.00,0,,0,0.00,0,,
2,,99,34023.58,343.67,,11,3921.01,356.46,,23,9013.00,391.87,,1,167.00,167,,63,20681.57,328.28,,0,0.00,0,,1,241.00,241,,
3,,49,16906.43,345.03,,4,887.86,221.97,,10,3436.57,343.66,,0,0.00,0,,35,12582.00,359.49,,0,0.00,0,,0,0.00,0,,
4,,43,12504.57,290.8,,4,1101.71,275.43,,8,2364.58,295.57,,0,0.00,0,,31,9038.28,291.56,,0,0.00,0,,0,0.00,0,,
5,,81,30210,372.96,,33,15273.86,462.84,,10,3094.00,309.4,,0,0.00,0,,38,11842.14,311.64,,0,0.00,0,,0,0.00,0,,
6,,190,71712.13,377.43,,44,15067.85,342.45,,38,16117.14,424.14,,1,166.00,166,,107,40361.14,377.21,,0,0.00,0,,0,0.00,0,,
7,,452,176213.3,389.85,,82,42320.58,516.1,,75,27774.29,370.32,,3,649.00,216.33,,291,105111.43,361.21,,0,0.00,0,,1,358.00,358,,
8,,537,208454.84,388.18,,76,40207.82,529.05,,82,29943.15,365.16,,1,409.00,409,,376,137265.87,365.07,,0,0.00,0,,2,629.00,314.5,,
9,,663,256784.13,387.31,,109,50544.57,463.71,,93,32580.44,350.33,,2,856.00,428,,459,172803.12,376.48,,0,0.00,0,,0,0.00,0,,
10,,941,423236.75,449.77,,113,55906.92,494.75,,166,70758.60,426.26,,8,6025.00,753.13,,652,289277.23,443.68,,0,0.00,0,,2,1269.00,634.5,,
11,,1362,611702.87,449.12,,180,80695.56,448.31,,229,105625.59,461.25,,4,1852.00,463,,944,421895.72,446.92,,0,0.00,0,,5,1634.00,326.8,,
12,,1063,432575.98,406.94,,114,47620.90,417.73,,172,62210.00,361.69,,6,2484.00,414,,763,316814.08,415.22,,0,0.00,0,,8,3447.00,430.88,,
13,,875,386659.67,441.9,,103,54153.24,525.76,,147,66899.29,455.1,,6,3994.00,665.67,,618,261423.14,423.01,,0,0.00,0,,1,190.00,190,,
14,,1028,466492.45,453.79,,114,56033.46,491.52,,160,77954.94,487.22,,9,4796.00,532.89,,742,326622.05,440.19,,0,0.00,0,,3,1086.00,362,,
15,,1128,506100.02,448.67,,135,66695.97,494.04,,197,83823.31,425.5,,7,2585.00,369.29,,782,350390.74,448.07,,0,0.00,0,,7,2605.00,372.14,,
16,,1035,490797.02,474.2,,125,65390.15,523.12,,179,77742.33,434.31,,11,5940.00,540,,718,341029.54,474.97,,0,0.00,0,,2,695.00,347.5,,
17,,894,408835.28,457.31,,115,56672.56,492.8,,152,67380.66,443.29,,8,3552.00,444,,615,279814.06,454.98,,0,0.00,0,,4,1416.00,354,,
18,,989,462483.28,467.63,,133,57687.16,433.74,,173,74045.35,428.01,,7,6546.00,935.14,,672,322348.34,479.69,,0,0.00,0,,4,1856.43,464.11,,
19,,834,343716.25,412.13,,99,39582.50,399.82,,140,53659.41,383.28,,5,1644.00,328.8,,586,247718.34,422.73,,0,0.00,0,,4,1112.00,278,,
20,,556,227752.01,409.63,,82,31900.10,389.03,,95,38424.86,404.47,,3,1566.00,522,,375,155569.05,414.85,,0,0.00,0,,1,292.00,292,,
21,,484,195036.07,402.97,,52,22196.79,426.86,,87,32763.70,376.59,,6,1934.00,322.33,,337,137615.58,408.35,,0,0.00,0,,2,526.00,263,,
22,,453,174828.94,385.94,,59,25655.81,434.84,,88,32274.21,366.75,,7,1866.00,266.57,,297,114673.35,386.11,,0,0.00,0,,2,359.57,179.79,,
23,,353,140117.08,396.93,,40,14866.94,371.67,,66,25060.56,379.71,,4,1845.00,461.25,,242,98192.58,405.75,,0,0.00,0,,1,152.00,152,,
,,14467,6213213.96,429.47,,1868,859763.85,460.26,,2455,1016330.44,413.98,,101,49318,488.3,,9991,4268674.67,427.25,,0,0,0,,52,19127,367.83,,
