,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,214,81415.87,380.45,,31,11020.55,355.5,,37,14475.42,391.23,,0,0.00,0,,146,55919.90,383.01,,0,0.00,0,,0,0.00,0,,
1,,174,62977.91,361.94,,26,11198.62,430.72,,33,11299.28,342.4,,2,621.00,310.5,,112,39655.72,354.07,,0,0.00,0,,1,203.29,203.29,,
2,,127,45761.13,360.32,,19,6270.43,330.02,,27,9300.42,344.46,,0,0.00,0,,81,30190.28,372.72,,0,0.00,0,,0,0.00,0,,
3,,76,27303.58,359.26,,10,4368.29,436.83,,13,4913.29,377.95,,0,0.00,0,,53,18022.00,340.04,,0,0.00,0,,0,0.00,0,,
4,,61,19764.14,324,,8,2520.14,315.02,,9,2495.00,277.22,,1,144.00,144,,43,14605.00,339.65,,0,0.00,0,,0,0.00,0,,
5,,68,22174.12,326.09,,13,3468.84,266.83,,8,2776.00,347,,1,721.00,721,,46,15208.28,330.61,,0,0.00,0,,0,0.00,0,,
6,,210,71888.09,342.32,,40,15450.39,386.26,,36,11752.86,326.47,,2,646.00,323,,131,43616.84,332.95,,0,0.00,0,,1,422.00,422,,
7,,419,159155.82,379.85,,78,36714.55,470.7,,59,20304.85,344.15,,2,434.00,217,,278,101089.42,363.63,,0,0.00,0,,2,613.00,306.5,,
8,,694,271491.97,391.2,,114,50088.40,439.37,,124,47413.72,382.37,,3,701.00,233.67,,452,172775.85,382.25,,0,0.00,0,,1,513.00,513,,
9,,696,275541.34,395.89,,103,44194.16,429.07,,110,40713.85,370.13,,5,2304.00,460.8,,477,188160.33,394.47,,0,0.00,0,,1,169.00,169,,
10,,1076,537246.15,499.3,,146,108187.90,741.01,,205,91203.36,444.89,,4,2677.00,669.25,,719,334249.89,464.88,,0,0.00,0,,2,928.00,464,,
11,,1492,703411.06,471.46,,198,115255.78,582.1,,237,112921.48,476.46,,6,2945.00,490.83,,1046,469455.80,448.81,,0,0.00,0,,5,2833.00,566.6,,
12,,1182,482365.67,408.09,,118,46458.63,393.72,,208,82401.45,396.16,,5,2055.00,411,,844,349307.87,413.87,,0,0.00,0,,7,2142.72,306.1,,
13,,917,384795.83,419.62,,84,38956.80,463.77,,164,72185.43,440.16,,5,1951.00,390.2,,657,269191.89,409.73,,0,0.00,0,,7,2510.71,358.67,,
14,,916,436789.74,476.84,,116,58586.65,505.06,,169,80458.29,476.08,,4,862.00,215.5,,624,295324.80,473.28,,0,0.00,0,,3,1558.00,519.33,,
15,,717,327700.4,457.04,,94,42947.45,456.89,,112,48754.42,435.31,,7,2847.00,406.71,,502,232095.53,462.34,,0,0.00,0,,2,1056.00,528,,
16,,19,9163,482.26,,1,424.00,424,,1,368.00,368,,1,341.00,341,,16,8030.00,501.88,,0,0.00,0,,0,0.00,0,,
17,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
18,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,9058,3918945.82,432.65,,1199,596111.58,497.17,,1552,653737.12,421.22,,48,19249,401.02,,6227,2636899.4,423.46,,0,0,0,,32,12948.72,404.65,,
