,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,198,74801.24,377.78,,29,11819.14,407.56,,40,14097.94,352.45,,4,1153.00,288.25,,125,47731.16,381.85,,0,0.00,0,,0,0.00,0,,
1,,166,63224.33,380.87,,20,8023.01,401.15,,26,8652.28,332.78,,1,487.00,487,,118,45703.04,387.31,,0,0.00,0,,1,359.00,359,,
2,,104,36738.28,353.25,,16,5122.28,320.14,,22,8035.14,365.23,,2,395.00,197.5,,63,22932.86,364.01,,0,0.00,0,,1,253.00,253,,
3,,65,26423.87,406.52,,10,8700.30,870.03,,5,1776.71,355.34,,0,0.00,0,,50,15946.86,318.94,,0,0.00,0,,0,0.00,0,,
4,,43,13291.57,309.11,,6,1837.57,306.26,,14,5191.00,370.79,,0,0.00,0,,23,6263.00,272.3,,0,0.00,0,,0,0.00,0,,
5,,70,23188.61,331.27,,19,5676.29,298.75,,12,4396.43,366.37,,0,0.00,0,,39,13115.89,336.3,,0,0.00,0,,0,0.00,0,,
6,,195,73996.85,379.47,,43,15305.13,355.93,,31,13754.86,443.71,,1,599.00,599,,119,44149.86,371.01,,0,0.00,0,,1,188.00,188,,
7,,443,159789.57,360.7,,92,33577.01,364.97,,70,26707.57,381.54,,4,1542.00,385.5,,276,97835.99,354.48,,0,0.00,0,,1,127.00,127,,
8,,634,233557.82,368.39,,109,38773.42,355.72,,94,34254.43,364.41,,2,813.00,406.5,,429,159716.97,372.3,,0,0.00,0,,0,0.00,0,,
9,,695,265912.86,382.61,,100,42825.41,428.25,,109,40381.71,370.47,,2,444.00,222,,481,181636.74,377.62,,0,0.00,0,,3,625.00,208.33,,
10,,1024,486320.97,474.92,,137,85669.83,625.33,,193,87466.09,453.19,,8,4305.00,538.13,,682,307095.05,450.29,,0,0.00,0,,4,1785.00,446.25,,
11,,1266,568528.9,449.07,,178,90712.44,509.62,,206,87437.56,424.45,,7,4090.00,584.29,,868,382867.90,441.09,,0,0.00,0,,7,3421.00,488.71,,
12,,1072,435239.89,406.01,,133,59489.57,447.29,,177,70174.15,396.46,,7,3365.00,480.71,,752,301165.17,400.49,,0,0.00,0,,3,1046.00,348.67,,
13,,848,370856.4,437.33,,89,47358.23,532.11,,148,67970.47,459.26,,9,3423.00,380.33,,596,249596.70,418.79,,0,0.00,0,,6,2508.00,418,,
14,,980,450125.04,459.31,,141,77478.34,549.49,,154,67233.75,436.58,,5,1405.00,281,,672,300404.95,447.03,,0,0.00,0,,8,3603.00,450.38,,
15,,1152,540098.07,468.84,,184,91164.59,495.46,,190,87016.71,457.98,,7,2471.00,353,,771,359445.77,466.21,,0,0.00,0,,0,0.00,0,,
16,,1059,509213.38,480.84,,141,64429.26,456.95,,171,82319.47,481.4,,1,300.00,300,,742,360347.65,485.64,,0,0.00,0,,4,1817.00,454.25,,
17,,948,434467.73,458.3,,120,55733.37,464.44,,153,65000.64,424.84,,0,0.00,0,,671,311526.72,464.27,,0,0.00,0,,4,2207.00,551.75,,
18,,981,456216.81,465.05,,142,64250.57,452.47,,159,73167.89,460.18,,0,0.00,0,,678,317999.35,469.03,,0,0.00,0,,2,799.00,399.5,,
19,,787,342511.89,435.21,,113,50996.42,451.3,,118,50408.90,427.19,,0,0.00,0,,552,239999.57,434.78,,0,0.00,0,,4,1107.00,276.75,,
20,,590,242656.27,411.28,,71,27506.50,387.42,,107,42386.27,396.13,,1,548.00,548,,411,172215.50,419.02,,0,0.00,0,,0,0.00,0,,
21,,481,190435.63,395.92,,63,26103.43,414.34,,80,31892.00,398.65,,1,257.00,257,,337,132183.20,392.24,,0,0.00,0,,0,0.00,0,,
22,,445,176287.65,396.15,,53,21348.42,402.8,,64,24806.52,387.6,,0,0.00,0,,324,128899.71,397.84,,0,0.00,0,,4,1233.00,308.25,,
23,,336,132394.29,394.03,,32,14095.29,440.48,,67,26546.43,396.22,,1,505.00,505,,234,90588.57,387.13,,0,0.00,0,,2,659.00,329.5,,
,,14582,6306277.92,432.47,,2041,947995.82,464.48,,2410,1021074.92,423.68,,63,26102,414.32,,10013,4289368.18,428.38,,0,0,0,,55,21737,395.22,,
