,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,270,111126.79,411.58,,29,12654.94,436.38,,61,23953.43,392.68,,1,658.00,658,,178,73455.71,412.67,,0,0.00,0,,1,404.71,404.71,,
1,,210,83118.31,395.8,,23,8966.16,389.83,,38,16173.01,425.61,,2,528.00,264,,147,57451.14,390.82,,0,0.00,0,,0,0.00,0,,
2,,148,53388.85,360.74,,12,4300.14,358.35,,30,9634.57,321.15,,3,1135.00,378.33,,102,37937.14,371.93,,0,0.00,0,,1,382.00,382,,
3,,92,35986.62,391.16,,7,3273.44,467.63,,18,6298.57,349.92,,3,1046.00,348.67,,63,25174.61,399.6,,0,0.00,0,,1,194.00,194,,
4,,71,27000.14,380.28,,12,5681.43,473.45,,11,4002.00,363.82,,0,0.00,0,,48,17316.71,360.76,,0,0.00,0,,0,0.00,0,,
5,,73,28953.44,396.62,,13,7023.15,540.24,,12,3757.00,313.08,,4,1471.00,367.75,,44,16702.29,379.6,,0,0.00,0,,0,0.00,0,,
6,,222,102534.73,461.87,,53,30108.59,568.09,,45,19283.29,428.52,,0,0.00,0,,124,53142.85,428.57,,0,0.00,0,,0,0.00,0,,
7,,574,244105.03,425.27,,115,49910.01,434,,70,27144.00,387.77,,5,2081.00,416.2,,384,164970.02,429.61,,0,0.00,0,,0,0.00,0,,
8,,778,319975.54,411.28,,162,67860.83,418.89,,94,37809.85,402.23,,1,220.00,220,,521,214084.86,410.91,,0,0.00,0,,0,0.00,0,,
9,,839,354587.73,422.63,,156,67746.74,434.27,,110,48058.14,436.89,,6,1517.00,252.83,,565,236741.85,419.01,,0,0.00,0,,2,524.00,262,,
10,,1129,538253.12,476.75,,164,89110.49,543.36,,183,77540.81,423.72,,3,1098.00,366,,778,369977.82,475.55,,0,0.00,0,,1,526.00,526,,
11,,1491,710540.75,476.55,,190,100015.89,526.4,,226,107287.16,474.72,,7,3806.00,543.71,,1058,495239.70,468.09,,0,0.00,0,,10,4192.00,419.2,,
12,,1232,550931.66,447.18,,123,60617.41,492.82,,175,77100.52,440.57,,10,3711.00,371.1,,917,406738.73,443.55,,0,0.00,0,,7,2764.00,394.86,,
13,,1008,457371.74,453.74,,94,42123.08,448.12,,178,77485.84,435.31,,6,1910.00,318.33,,725,333895.39,460.55,,0,0.00,0,,5,1957.43,391.49,,
14,,1120,543390.55,485.17,,123,65942.51,536.12,,156,75685.87,485.17,,5,1530.00,306,,827,397038.17,480.09,,0,0.00,0,,9,3194.00,354.89,,
15,,955,462504.75,484.3,,110,57472.53,522.48,,151,71320.68,472.32,,6,1585.00,264.17,,681,329133.54,483.31,,0,0.00,0,,7,2993.00,427.57,,
16,,85,36362.29,427.79,,9,3755.29,417.25,,16,6760.00,422.5,,0,0.00,0,,60,25847.00,430.78,,0,0.00,0,,0,0.00,0,,
17,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
18,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,1,499,499,,0,0.00,0,,0,0.00,0,,0,0.00,0,,1,499.00,499,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,10298,4660631.04,452.58,,1395,676562.63,484.99,,1574,689294.74,437.93,,62,22296,359.61,,7223,3255346.53,450.69,,0,0,0,,44,17131.14,389.34,,
