,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,246,97172.23,395.01,,25,10354.02,414.16,,57,22837.03,400.65,,5,1528.00,305.6,,159,62453.18,392.79,,0,0.00,0,,0,0.00,0,,
1,,183,66504.72,363.41,,17,6190.24,364.13,,26,8053.00,309.73,,1,488.00,488,,139,51773.48,372.47,,0,0.00,0,,0,0.00,0,,
2,,118,43082.86,365.11,,10,3220.14,322.01,,20,7958.71,397.94,,2,465.00,232.5,,86,31439.01,365.57,,0,0.00,0,,0,0.00,0,,
3,,89,27741.85,311.71,,12,1824.14,152.01,,16,4869.00,304.31,,5,1347.00,269.4,,56,19701.71,351.82,,0,0.00,0,,0,0.00,0,,
4,,68,26697.56,392.61,,8,5996.28,749.54,,16,6303.14,393.95,,1,527.00,527,,43,13871.14,322.58,,0,0.00,0,,0,0.00,0,,
5,,66,22328.41,338.31,,7,2113.99,302,,11,3129.85,284.53,,3,1369.00,456.33,,45,15715.57,349.23,,0,0.00,0,,0,0.00,0,,
6,,208,76518.04,367.88,,43,12433.02,289.14,,36,14906.86,414.08,,2,1467.00,733.5,,126,46697.16,370.61,,0,0.00,0,,1,1014.00,1014,,
7,,389,143178.55,368.07,,66,26271.42,398.05,,72,25903.28,359.77,,6,2655.00,442.5,,245,88348.85,360.61,,0,0.00,0,,0,0.00,0,,
8,,584,215230.86,368.55,,83,32467.15,391.17,,107,34189.42,319.53,,6,1932.00,322,,387,146315.29,378.08,,0,0.00,0,,1,327.00,327,,
9,,653,258150.77,395.33,,75,25511.99,340.16,,109,41192.56,377.91,,11,3814.00,346.73,,458,187632.22,409.68,,0,0.00,0,,0,0.00,0,,
10,,1023,500340.85,489.09,,131,68151.97,520.24,,220,102236.47,464.71,,11,4806.00,436.91,,658,324133.70,492.6,,0,0.00,0,,3,1012.71,337.57,,
11,,1407,651427.05,462.99,,163,73254.94,449.42,,264,122198.84,462.87,,10,5240.00,524,,957,444413.98,464.38,,0,0.00,0,,13,6319.29,486.1,,
12,,1082,470410.98,434.76,,106,47841.90,451.34,,209,92070.52,440.53,,11,2980.00,270.91,,753,326100.56,433.07,,0,0.00,0,,3,1418.00,472.67,,
13,,942,434205.61,460.94,,90,46346.65,514.96,,159,76194.73,479.21,,13,5122.00,394,,675,304368.23,450.92,,0,0.00,0,,5,2174.00,434.8,,
14,,1216,602214.82,495.24,,115,63914.54,555.78,,326,159907.42,490.51,,14,6566.00,469,,758,369951.86,488.06,,0,0.00,0,,3,1875.00,625,,
15,,1362,676624,496.79,,149,78796.45,528.84,,245,113654.54,463.9,,23,10145.00,441.09,,938,471220.01,502.37,,0,0.00,0,,7,2808.00,401.14,,
16,,1215,634074.17,521.87,,145,88354.70,609.34,,200,107180.54,535.9,,17,6543.00,384.88,,847,429187.93,506.72,,0,0.00,0,,6,2808.00,468,,
17,,1109,552299.86,498.02,,164,81307.53,495.78,,178,88565.26,497.56,,17,6134.00,360.82,,749,376049.07,502.07,,0,0.00,0,,1,244.00,244,,
18,,896,413255.02,461.22,,136,61513.83,452.31,,169,79831.71,472.38,,11,4638.00,421.64,,576,265255.48,460.51,,0,0.00,0,,4,2016.00,504,,
19,,755,319303.78,422.92,,109,47546.91,436.21,,136,57177.41,420.42,,15,7370.00,491.33,,492,205449.46,417.58,,0,0.00,0,,3,1760.00,586.67,,
20,,578,227302.49,393.26,,79,30495.89,386.02,,107,43870.07,410,,16,7326.00,457.88,,372,144758.24,389.14,,0,0.00,0,,4,852.29,213.07,,
21,,504,204299.9,405.36,,64,24502.68,382.85,,88,35829.29,407.15,,7,2999.00,428.43,,343,140354.93,409.2,,0,0.00,0,,2,614.00,307,,
22,,444,171327.24,385.87,,47,17256.63,367.16,,76,32069.13,421.96,,8,2451.00,306.38,,308,117687.48,382.1,,0,0.00,0,,5,1863.00,372.6,,
23,,334,130289.03,390.09,,40,17599.40,439.99,,71,27615.58,388.95,,6,1396.00,232.67,,216,83290.05,385.6,,0,0.00,0,,1,388.00,388,,
,,15471,6963980.65,450.13,,1884,873266.41,463.52,,2918,1307744.36,448.16,,221,89308,404.11,,10386,4666168.59,449.27,,0,0,0,,62,27493.29,443.44,,
