,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,217,80211.6,369.64,,31,11583.58,373.66,,43,15691.58,364.92,,2,754.00,377,,141,52182.44,370.09,,0,0.00,0,,0,0.00,0,,
1,,157,58424.42,372.13,,13,5664.71,435.75,,35,12075.56,345.02,,4,1088.00,272,,105,39596.15,377.11,,0,0.00,0,,0,0.00,0,,
2,,110,37006.28,336.42,,6,1840.28,306.71,,23,7172.57,311.85,,1,749.00,749,,79,26960.43,341.27,,0,0.00,0,,1,284.00,284,,
3,,61,21335.71,349.77,,6,2357.57,392.93,,12,3424.00,285.33,,2,436.00,218,,40,14819.14,370.48,,0,0.00,0,,1,299.00,299,,
4,,55,23431.7,426.03,,6,2137.85,356.31,,14,8452.71,603.77,,0,0.00,0,,35,12841.14,366.89,,0,0.00,0,,0,0.00,0,,
5,,65,23312.01,358.65,,11,5074.30,461.3,,12,3265.57,272.13,,0,0.00,0,,42,14972.14,356.48,,0,0.00,0,,0,0.00,0,,
6,,235,85337.81,363.14,,56,22933.25,409.52,,34,11843.29,348.33,,3,1277.00,425.67,,142,49284.27,347.07,,0,0.00,0,,0,0.00,0,,
7,,430,160575.73,373.43,,74,28196.71,381.04,,55,22455.28,408.28,,2,668.00,334,,298,109015.74,365.82,,0,0.00,0,,1,240.00,240,,
8,,656,253126.58,385.86,,107,44721.58,417.96,,101,43302.00,428.73,,2,734.00,367,,446,164369.00,368.54,,0,0.00,0,,0,0.00,0,,
9,,795,303327.42,381.54,,130,55426.97,426.36,,126,45737.29,362.99,,1,2121.00,2121,,537,199812.16,372.09,,0,0.00,0,,1,230.00,230,,
10,,941,428460.66,455.32,,149,82536.20,553.93,,157,62230.78,396.37,,5,2007.00,401.4,,627,280601.68,447.53,,0,0.00,0,,3,1085.00,361.67,,
11,,1356,581165.2,428.59,,213,91282.91,428.56,,243,102990.43,423.83,,4,1456.00,364,,889,382308.86,430.04,,0,0.00,0,,7,3127.00,446.71,,
12,,1142,465562.92,407.67,,127,56753.85,446.88,,231,91436.64,395.83,,4,1087.00,271.75,,778,315501.43,405.53,,0,0.00,0,,2,784.00,392,,
13,,976,414579.34,424.77,,108,53684.16,497.08,,160,64675.12,404.22,,8,2682.00,335.25,,699,292958.06,419.11,,0,0.00,0,,1,580.00,580,,
14,,1056,484271.3,458.59,,129,75324.35,583.91,,189,81949.71,433.6,,2,623.00,311.5,,735,326055.24,443.61,,0,0.00,0,,1,319.00,319,,
15,,1224,561570.03,458.8,,164,74290.33,452.99,,184,84466.84,459.06,,4,1859.00,464.75,,864,398093.86,460.76,,0,0.00,0,,8,2860.00,357.5,,
16,,1052,505869.56,480.86,,136,64442.96,473.85,,166,77143.34,464.72,,8,4174.00,521.75,,736,358118.26,486.57,,0,0.00,0,,6,1991.00,331.83,,
17,,1054,482057.49,457.36,,157,71602.93,456.07,,166,74438.49,448.42,,3,2543.00,847.67,,727,333056.07,458.12,,0,0.00,0,,1,417.00,417,,
18,,1116,509159.26,456.24,,165,73628.13,446.23,,188,89306.26,475.03,,11,3187.00,289.73,,748,341126.87,456.05,,0,0.00,0,,4,1911.00,477.75,,
19,,893,373218.26,417.94,,147,59881.12,407.35,,149,63401.92,425.52,,4,2162.00,540.5,,583,243754.22,418.1,,0,0.00,0,,10,4019.00,401.9,,
20,,665,283074.55,425.68,,88,37166.21,422.34,,103,42963.71,417.12,,5,1836.00,367.2,,467,200526.63,429.39,,0,0.00,0,,2,582.00,291,,
21,,576,231616.61,402.11,,68,29529.12,434.25,,75,27909.88,372.13,,3,1331.00,443.67,,425,171233.61,402.9,,0,0.00,0,,5,1613.00,322.6,,
22,,477,195027.96,408.86,,47,20579.27,437.86,,83,31777.29,382.86,,4,2004.00,501,,341,139792.40,409.95,,0,0.00,0,,2,875.00,437.5,,
23,,361,147773.35,409.34,,40,17921.49,448.04,,74,28077.00,379.42,,4,1483.00,370.75,,241,99587.15,413.22,,0,0.00,0,,2,704.71,352.36,,
,,15670,6709495.75,428.17,,2178,988559.83,453.88,,2623,1096187.26,417.91,,86,36261,421.64,,10725,4566566.95,425.79,,0,0,0,,58,21920.71,377.94,,
