,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC
,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,GC,Gross Actual,Gross AC,,
0,,254,95799.42,377.16,,29,11592.86,399.75,,43,16276.00,378.51,,2,584.00,292,,179,67069.56,374.69,,0,0.00,0,,1,277.00,277,,
1,,182,67244.96,369.48,,25,10130.17,405.21,,31,11852.57,382.34,,0,0.00,0,,123,44276.22,359.97,,0,0.00,0,,3,986.00,328.67,,
2,,110,40974.72,372.5,,19,6427.43,338.29,,26,8846.00,340.23,,0,0.00,0,,65,25701.29,395.4,,0,0.00,0,,0,0.00,0,,
3,,61,20687.29,339.14,,5,1923.72,384.74,,16,5892.00,368.25,,1,271.00,271,,39,12600.57,323.09,,0,0.00,0,,0,0.00,0,,
4,,65,22407.15,344.73,,4,1405.57,351.39,,14,5464.43,390.32,,1,300.00,300,,46,15237.15,331.24,,0,0.00,0,,0,0.00,0,,
5,,88,29434.14,334.48,,14,3944.14,281.72,,23,7018.43,305.15,,2,551.00,275.5,,49,17920.57,365.73,,0,0.00,0,,0,0.00,0,,
6,,288,108518.7,376.8,,50,18422.43,368.45,,53,18823.15,355.15,,0,0.00,0,,185,71273.12,385.26,,0,0.00,0,,0,0.00,0,,
7,,558,218097.46,390.86,,86,31257.73,363.46,,93,34695.57,373.07,,0,0.00,0,,379,152144.16,401.44,,0,0.00,0,,0,0.00,0,,
8,,757,298711.65,394.6,,143,57108.67,399.36,,131,52293.57,399.19,,2,545.00,272.5,,481,188764.41,392.44,,0,0.00,0,,0,0.00,0,,
9,,859,341964.82,398.1,,136,55599.96,408.82,,170,62799.41,369.41,,0,0.00,0,,549,222730.45,405.7,,0,0.00,0,,4,835.00,208.75,,
10,,1155,525219.37,454.74,,177,82594.36,466.63,,236,103634.23,439.13,,4,1289.00,322.25,,736,337182.78,458.13,,0,0.00,0,,2,519.00,259.5,,
11,,1562,736945.6,471.8,,223,127107.98,569.99,,274,122331.74,446.47,,15,6881.00,458.73,,1043,478441.88,458.72,,0,0.00,0,,7,2183.00,311.86,,
12,,1245,519918.32,417.61,,166,73919.02,445.3,,188,75445.34,401.31,,4,2380.00,595,,879,365145.96,415.41,,0,0.00,0,,8,3028.00,378.5,,
13,,1021,448311.42,439.09,,102,52874.05,518.37,,204,78509.76,384.85,,4,1343.00,335.75,,709,314388.61,443.43,,0,0.00,0,,2,1196.00,598,,
14,,1203,594531.22,494.21,,130,77262.08,594.32,,200,98020.12,490.1,,9,3722.00,413.56,,859,412414.02,480.11,,0,0.00,0,,5,3113.00,622.6,,
15,,1373,660697.74,481.21,,212,121374.70,572.52,,245,105789.42,431.79,,8,3278.00,409.75,,906,429669.62,474.25,,0,0.00,0,,2,586.00,293,,
16,,1108,523820.37,472.76,,142,71105.32,500.74,,164,76516.57,466.56,,10,4180.00,418,,790,371336.48,470.05,,0,0.00,0,,2,682.00,341,,
17,,828,388311.36,468.98,,131,60709.23,463.43,,132,67160.05,508.79,,2,587.00,293.5,,562,259417.08,461.6,,0,0.00,0,,1,438.00,438,,
18,,138,57987.37,420.2,,15,6380.66,425.38,,25,9840.14,393.61,,1,474.00,474,,97,41292.57,425.7,,0,0.00,0,,0,0.00,0,,
19,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
20,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
21,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
22,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
23,,0,0,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,0,0.00,0,,
,,12855,5699583.08,443.37,,1809,871140.08,481.56,,2268,961208.5,423.81,,65,26385,405.92,,8676,3827006.5,441.1,,0,0,0,,37,13843,374.14,,
