,,,MDSCSI Sales TC/AC,,,,Voice Sales TC/AC,,,,Web Sales TC/AC,,,,GcashMiniProgram Sales TC/AC,,,,Mobile Apps Sales TC/AC,,,,CTC Sales TC/AC,,,,fbchatbot Sales TC/AC,
,,,Gross Actual,GC,Gross AC,,Gross Actual,GC,Gross AC,,Gross Actual,GC,Gross AC,,Gross Actual,GC,Gross AC,,Gross Actual,GC,Gross AC,,Gross Actual,GC,Gross AC,,
092,SAN PEDRO,,906506.08,2151,421.43,,150530.18,350,430.09,,149595.51,338,442.59,,6599.00,12,549.92,,596855.39,1446,412.76,,0,0,0,,2926.00,5,585.20,,
094,TARLAC HI-WAY,,205555,442,465.06,,2854.86,7,407.84,,27754.43,71,390.91,,279.00,1,279.00,,174259.71,362,481.38,,0,0,0,,407.00,1,407.00,,
101,SUMULONG,,310423.38,781,397.47,,97722.24,254,384.73,,38562.37,101,381.81,,0,0,0,,173930.77,425,409.25,,0,0,0,,208.00,1,208.00,,
108,ANGELES,,102008.94,211,483.45,,0,0,0,,21669.86,44,492.50,,953.00,2,476.50,,78897.08,164,481.08,,0,0,0,,489.00,1,489.00,,
116,METROLANE,,245259.32,557,440.32,,86156.02,205,420.27,,39683.90,85,466.87,,1962.00,9,218.00,,117457.40,258,455.26,,0,0,0,,0,0,0,,
117,VALENZUELA SOUTH,,603035.15,1191,506.33,,170446.07,306,557.01,,90149.80,192,469.53,,0,0,0,,340976.28,689,494.89,,0,0,0,,1463.00,4,365.75,,
119,MINDANAO AVENUE,,108100.59,247,437.65,,37657.91,92,409.33,,16748.18,38,440.74,,0,0,0,,53694.50,117,458.93,,0,0,0,,0,0,0,,
125,UP VEGA,,499978.31,1096,456.18,,10629.29,18,590.52,,92456.72,201,459.98,,275.00,1,275.00,,394112.30,871,452.48,,0,0,0,,2505.00,5,501.00,,
128,GUADALUPE MALL,,385369.99,956,403.11,,71718.14,168,426.89,,77453.73,198,391.18,,3541.00,8,442.63,,231720.55,579,400.21,,0,0,0,,936.57,3,312.19,,
129,BOCAUE,,352304.23,813,433.34,,9138.43,22,415.38,,32813.46,85,386.04,,1720.00,5,344.00,,308491.34,700,440.70,,0,0,0,,141.00,1,141.00,,
131,C & B MARIKINA,,403897.38,935,431.98,,125617.77,276,455.14,,50284.52,118,426.14,,0,0,0,,227995.09,541,421.43,,0,0,0,,0,0,0,,
133,SAN PABLO,,250803.88,496,505.65,,7626.57,13,586.66,,35498.18,72,493.03,,0,0,0,,207510.13,410,506.12,,0,0,0,,169.00,1,169.00,,
138,GEN LUNA,,127366.87,265,480.63,,41234.87,72,572.71,,22855.00,44,519.43,,189.00,1,189.00,,63088.00,148,426.27,,0,0,0,,0,0,0,,
140,JP RIZAL,,477506.57,1094,436.48,,81701.99,161,507.47,,81536.49,200,407.68,,2395.00,7,342.14,,311873.09,726,429.58,,0,0,0,,0,0,0,,
141,DASMA BAYAN,,554183.12,1194,464.14,,29201.41,64,456.27,,98576.07,221,446.05,,5241.00,9,582.33,,420090.64,898,467.81,,0,0,0,,1074.00,2,537.00,,
144,VISAYAS AVENUE,,308661.07,750,411.55,,121927.52,276,441.77,,44105.72,107,412.20,,1579.00,3,526.33,,141048.83,364,387.50,,0,0,0,,0,0,0,,
146,CAPAS TARLAC,,362129.15,706,512.93,,11383.00,10,1138.30,,36494.14,70,521.34,,0,0,0,,310635.01,619,501.83,,0,0,0,,3617.00,7,516.71,,
149,SAN JOAQUIN,,611996.19,1344,455.35,,108165.97,189,572.31,,92801.17,188,493.62,,1290.00,5,258.00,,409210.11,961,425.82,,0,0,0,,528.94,1,528.94,,
150,CARMEN,,165108,321,514.36,,2151.00,4,537.75,,17546.00,32,548.31,,1899.00,4,474.75,,142648.00,278,513.12,,0,0,0,,864.00,3,288.00,,
157,TARLAC TOWN CENTER,,85969.57,179,480.28,,2668.00,2,1334.00,,6620.00,15,441.33,,711.00,1,711.00,,75970.57,161,471.87,,0,0,0,,0,0,0,,
158,STA CRUZ CHURCH,,16078.72,31,518.67,,1420.43,4,355.11,,4662.00,9,518.00,,0,0,0,,9996.29,18,555.35,,0,0,0,,0,0,0,,
164,MUNTINLUPA,,568481.71,1328,428.07,,130497.84,275,474.54,,82957.28,195,425.42,,3090.00,9,343.33,,350608.59,843,415.91,,0,0,0,,1328.00,6,221.33,,
169,PATEROS BAYAN,,217951.46,511,426.52,,51283.89,121,423.83,,36582.49,95,385.08,,1854.00,6,309.00,,128231.08,289,443.71,,0,0,0,,0,0,0,,
172,KABIHASNAN,,298408.91,692,431.23,,79702.10,162,491.99,,40594.00,102,397.98,,1080.00,4,270.00,,175104.81,422,414.94,,0,0,0,,1928.00,2,964.00,,
174,WEST AVENUE,,148871.9,368,404.54,,50627.77,114,444.10,,16556.58,46,359.93,,1040.00,5,208.00,,80647.55,203,397.28,,0,0,0,,0,0,0,,
176,MARY MART ILOILO,,12371.29,31,399.07,,0,0,0,,516.00,2,258.00,,0,0,0,,11855.29,29,408.80,,0,0,0,,0,0,0,,
178,PACO,,527093.04,1179,447.07,,134828.78,293,460.17,,75521.27,179,421.91,,6528.00,16,408.00,,308924.99,688,449.02,,0,0,0,,1290.00,3,430.00,,
179,LEMERY,,380025.57,751,506.03,,42232.86,64,659.89,,62193.43,122,509.78,,3700.00,7,528.57,,271471.28,557,487.38,,0,0,0,,428.00,1,428.00,,
181,RFC MOLINO,,586325.85,1344,436.25,,38867.96,87,446.76,,83270.97,189,440.59,,1279.00,2,639.50,,460983.92,1061,434.48,,0,0,0,,1924.00,5,384.80,,
182,TANAUAN,,167652.29,338,496.01,,5289.15,8,661.14,,27967.85,63,443.93,,0,0,0,,134395.29,267,503.35,,0,0,0,,0,0,0,,
183,WALTERMART CALAMBA,,59683.26,150,397.89,,2180.14,6,363.36,,11889.00,31,383.52,,0,0,0,,45064.12,112,402.36,,0,0,0,,550.00,1,550.00,,
186,BANAUE,,44985.85,103,436.76,,14497.85,38,381.52,,10822.14,22,491.92,,1209.00,4,302.25,,18456.86,39,473.25,,0,0,0,,0,0,0,,
187,EDSA ROTONDA,,259271.41,598,433.56,,56181.76,135,416.16,,45438.92,93,488.59,,1009.00,2,504.50,,155968.73,366,426.14,,0,0,0,,673.00,2,336.50,,
189,TAGAYTAY OLIVAREZ,,167795.28,350,479.42,,12789.29,20,639.46,,34986.85,61,573.55,,631.00,2,315.50,,117278.71,261,449.34,,0,0,0,,2109.43,6,351.57,,
190,BARANGKA,,779730.87,1902,409.95,,202505.02,457,443.12,,119636.41,295,405.55,,8395.00,26,322.88,,447834.44,1119,400.21,,0,0,0,,1360.00,5,272.00,,
193,MATALINO,,342602.06,823,416.28,,96013.43,212,452.89,,58330.80,146,399.53,,4228.00,7,604.00,,183749.83,457,402.08,,0,0,0,,280.00,1,280.00,,
194,LUCENA QA,,257526.33,573,449.44,,2364.43,6,394.07,,39827.18,91,437.66,,0,0,0,,213308.72,473,450.97,,0,0,0,,2026.00,3,675.33,,
195,PROJECT 8,,389761.01,962,405.16,,111864.67,287,389.77,,62949.27,167,376.94,,2227.00,5,445.40,,211880.07,502,422.07,,0,0,0,,840.00,1,840.00,,
200,TOMAS MORATO,,281918.01,635,443.97,,85356.91,175,487.75,,52168.15,122,427.61,,1787.00,4,446.75,,142039.95,332,427.83,,0,0,0,,566.00,2,283.00,,
201,DAVAO ILUSTRE,,56563.72,117,483.45,,11392.15,19,599.59,,9926.71,21,472.70,,0,0,0,,33866.86,75,451.56,,0,0,0,,1378.00,2,689.00,,
203,TANZA,,662786.06,1501,441.56,,24736.15,49,504.82,,113553.38,253,448.83,,2676.00,7,382.29,,520538.53,1188,438.16,,0,0,0,,1282.00,4,320.50,,
206,MAKATI AVE,,395337.46,852,464.01,,108570.29,201,540.15,,81987.30,204,401.90,,838.00,2,419.00,,203636.87,444,458.64,,0,0,0,,305.00,1,305.00,,
209,MUNOZ,,242530.72,594,408.3,,55388.45,125,443.11,,43968.03,111,396.11,,1046.00,4,261.50,,141697.24,353,401.41,,0,0,0,,431.00,1,431.00,,
211,CABUYAO,,731665.36,1558,469.62,,26082.58,43,606.57,,128548.48,271,474.35,,3754.00,10,375.40,,570279.45,1228,464.40,,0,0,0,,3000.85,6,500.14,,
215,PEDRO GIL,,72015.58,139,518.1,,27515.73,41,671.12,,12174.57,27,450.91,,0,0,0,,32117.28,70,458.82,,0,0,0,,208.00,1,208.00,,
216,TIERRA PURA,,372535.03,771,483.18,,142660.53,278,513.17,,62358.91,124,502.89,,968.00,3,322.67,,166068.59,365,454.98,,0,0,0,,479.00,1,479.00,,
218,EDSA PANAY,,168240.49,297,566.47,,72519.75,96,755.41,,24654.00,64,385.22,,1299.00,2,649.50,,69767.74,135,516.80,,0,0,0,,0,0,0,,
220,LAOAG,,216992.41,462,469.68,,9927.58,17,583.98,,30464.00,63,483.56,,0,0,0,,175990.83,381,461.92,,0,0,0,,610.00,1,610.00,,
221,KINGSWOOD,,428467.82,1071,400.06,,88959.57,208,427.69,,59443.72,159,373.86,,1844.00,4,461.00,,277548.53,697,398.20,,0,0,0,,672.00,3,224.00,,
222,TIMES PERPETUAL,,349546.7,810,431.54,,100166.19,236,424.43,,48015.43,117,410.39,,3269.00,5,653.80,,197945.65,451,438.90,,0,0,0,,150.43,1,150.43,,
224,LEPANTO,,110605.41,246,449.62,,11156.42,26,429.09,,30539.57,64,477.18,,1815.00,5,363.00,,67094.42,151,444.33,,0,0,0,,0,0,0,,
226,AIRPORT ROAD,,298386.6,614,485.97,,86912.88,123,706.61,,41949.15,98,428.05,,4935.00,6,822.50,,164589.57,387,425.30,,0,0,0,,0,0,0,,
228,BUENDIA,,232168.22,543,427.57,,48664.51,95,512.26,,46799.00,111,421.61,,0,0,0,,136704.71,337,405.65,,0,0,0,,0,0,0,,
