,,,Day 1,,Day 2,,Day 3,,Day 4,,Day 5,,Day 6,,Day 7,,Day 8,,Day 9,,Day 10,,Day 11,,Day 12,,Day 13,,Day 14,,Day 15,,Day 16,,Day 17,,Day 18,,Day 19,,Day 20,,Day 21,,Day 22,,Day 23,,Day 24,,Day 25,,Day 26,,Day 27,,Day 28,,Day 29,,Day 30,,Day 31,,,,MDSCSI Sales,
Store Code,Store Name,,TC, Gross Sales, Net Sales,,TC, Gross Sales, Net Sales,,TC, Gross Sales, Net Sales,,TC, Gross Sales, Net Sales,,TC, Gross Sales, Net Sales,,TC, Gross Sales, Net Sales,,
028,LAS PINAS,,108,50417.12,45969.58,,101,48084.10,43605.36,,122,58625.70,53408.04,,102,49544.79,44558.88,,131,58538.17,50194.57,,149,77584.24,66739.24,,131,64843.38,54988.83,,87,45625.40,39975.92,,145,75026.28,65697.27,,137,70957.78,60957.98,,131,62585.58,53617.77,,93,39178.48,33817.74,,106,49966.51,43203.56,,118,55017.25,47019.68,,118,57174.37,49281.23,,146,69711.95,59695.51,,133,63151.67,53956.22,,120,61198.91,53309.78,,80,35492.94,30508.92,,98,46591.65,40420.50,,105,43330.06,36696.40,,101,45260.84,38541.89,,117,57513.03,49335.63,,134,59751.86,51525.01,,96,46984.73,41441.06,,84,33064.64,28161.60,,95,42363.48,36038.32,,104,48633.52,41366.04,,94,39798.53,33784.36,,123,60628.28,51659.80,,0,0,0,,
029,KATIPUNAN,,53,24712.13,22097.34,,49,23585.44,20520.54,,57,29078.02,26438.39,,54,31037.97,27755.35,,56,29851.99,24814.31,,62,31963.73,26960.72,,58,26249.59,21996.42,,36,16967.57,14258.00,,57,29015.75,24355.34,,68,35646.57,29684.83,,55,32096.43,27154.47,,41,15252.36,12372.16,,53,27729.13,23895.53,,43,17851.16,15009.82,,52,26099.79,23000.89,,58,27996.98,23452.68,,55,27168.87,23040.21,,50,23345.50,19757.13,,51,27745.55,23331.84,,42,17905.58,14699.12,,57,24492.76,20461.60,,42,17348.56,14365.21,,61,29816.14,24867.82,,63,32817.87,28119.51,,54,26644.89,22965.15,,45,17454.02,14239.26,,60,30108.98,25488.35,,44,17505.02,14519.64,,46,20720.28,17026.80,,64,32846.92,27436.62,,0,0,0,,
030,SAN FERNANDO DOLORES,,16,8272.57,7372.35,,22,10419.86,9270.54,,21,11115.71,9645.52,,27,11055.47,9800.89,,18,9377.86,7713.40,,33,18781.03,15865.16,,25,13204.86,10984.83,,10,4028.43,3197.34,,20,8773.57,7140.19,,28,13161.57,10609.84,,17,8308.28,6772.34,,18,9219.14,7500.02,,31,12571.80,10118.74,,30,13049.61,10683.89,,25,11259.57,9066.09,,23,10502.50,8626.79,,17,8484.86,6983.03,,14,5868.43,4743.77,,14,8409.15,7024.99,,12,5350.43,4431.24,,18,9548.71,7850.90,,21,10121.57,8221.41,,20,10268.58,8425.02,,23,16712.85,14309.84,,27,11945.72,9611.62,,17,6653.00,5335.72,,17,9070.29,7483.92,,15,7171.00,5746.44,,19,8782.00,7174.11,,26,12070.56,9828.58,,0,0,0,,
032,E.RODRIGUEZ,,23,9254.70,8537.50,,0,0,0,,31,12747.86,11248.76,,24,12651.00,11360.72,,38,19650.29,16787.53,,21,11002.99,9423.22,,35,14272.87,11852.69,,23,9512.43,7978.56,,31,19395.28,16600.01,,37,18978.23,16533.93,,29,17837.86,15205.35,,32,13141.15,11298.80,,36,17342.70,15108.42,,29,14347.86,12280.39,,28,12523.71,10551.77,,35,15395.16,13122.33,,25,11257.44,9563.40,,37,18785.75,16438.46,,24,12905.28,11227.69,,30,12037.46,10225.74,,31,14217.57,12180.35,,33,15178.40,12626.74,,20,13922.14,11897.32,,21,11930.74,10552.69,,36,17273.96,14836.63,,23,8286.00,7145.56,,27,11934.99,10067.85,,19,6503.28,5857.15,,32,15320.14,13384.84,,30,15531.08,13204.45,,0,0,0,,
034,GOVERNOR FORBES,,114,56320.57,49816.38,,102,38424.43,33111.51,,96,41755.66,37391.97,,113,46175.36,40433.56,,103,45080.75,37672.30,,140,61385.45,51186.59,,103,43134.62,36456.72,,92,36520.11,31138.22,,123,52786.64,45872.27,,119,52250.72,44001.66,,127,55784.29,47212.38,,87,36372.75,30843.78,,79,32603.18,27423.05,,81,31504.32,26876.79,,76,32689.58,28145.55,,102,42241.29,35900.91,,96,41252.71,35460.68,,86,36377.01,31500.91,,78,32308.77,27616.97,,56,24135.33,20010.72,,84,30442.12,25718.71,,82,34270.36,28887.50,,94,41476.15,35360.66,,99,43428.69,38127.65,,67,30831.13,26200.86,,61,24296.51,20742.85,,85,35324.37,30494.54,,86,38989.00,32336.61,,88,35390.34,29591.53,,116,51532.55,44003.55,,0,0,0,,
035,TARLAC ROMULO,,27,13686.58,12032.12,,27,12047.00,10263.40,,25,12368.86,10440.17,,34,19677.16,17734.79,,32,13729.14,11166.02,,35,19307.33,15897.32,,27,12601.85,10160.72,,18,11060.86,9194.47,,45,23594.94,19347.24,,26,10662.71,8611.63,,30,16527.72,13614.30,,24,9210.57,7239.29,,32,15213.14,12280.37,,25,11650.85,9340.19,,27,14867.29,12376.80,,26,16716.57,13882.17,,33,17106.00,13989.31,,30,12961.42,10453.57,,21,12030.14,10098.23,,15,5787.00,4555.35,,23,11524.71,9341.09,,25,11349.00,9039.29,,27,14671.18,12117.84,,19,9009.76,7323.40,,32,17647.57,14624.53,,16,7524.29,6180.37,,17,7894.94,6666.96,,14,8566.57,7132.15,,18,8729.71,7205.58,,19,9191.85,7628.55,,0,0,0,,
037,MARCOS HIGHWAY,,40,16877.30,14875.02,,54,23433.63,20874.98,,62,25584.30,23149.94,,55,20672.12,18099.13,,50,21606.15,18693.75,,76,34339.22,28930.37,,68,32919.34,27616.11,,46,17760.82,15513.41,,64,28230.58,23771.42,,85,39665.73,33341.98,,58,22693.27,18993.71,,57,24161.84,20598.16,,40,13543.43,11201.83,,54,21709.90,18367.89,,48,18991.04,15698.20,,55,24560.31,20617.89,,50,20496.29,17714.25,,49,20187.34,17297.32,,53,20370.01,17208.01,,44,19030.35,16648.20,,47,16541.59,13364.29,,50,19531.00,16577.70,,54,22306.23,19111.64,,60,30020.68,25627.03,,57,22128.89,18207.14,,39,16603.63,13910.69,,45,14379.34,11848.78,,42,16615.58,14241.97,,48,19315.59,16821.43,,65,28070.95,23500.01,,0,0,0,,
038,BACOLOD LACSON,,7,3319.86,3031.25,,9,4508.14,4033.04,,6,2463.00,2067.86,,7,3700.90,3357.14,,6,2794.00,2232.14,,9,5330.29,4599.11,,12,5027.04,4066.06,,8,2470.00,1867.78,,8,4610.00,3766.08,,7,2850.00,2238.38,,6,3748.00,3083.94,,7,2532.00,1954.47,,7,2828.00,2231.18,,3,774.00,572.25,,14,5830.00,4624.37,,5,3328.00,2752.68,,5,1868.00,1449.12,,3,990.71,782.14,,9,3965.00,3146.44,,5,2728.00,2216.98,,10,3923.00,3065.18,,10,5811.29,4809.82,,6,5097.00,4288.39,,11,6959.00,5791.08,,7,2570.00,2036.60,,5,2252.14,1833.92,,11,4725.00,3800.00,,10,5651.00,4813.40,,10,5163.00,4304.46,,10,3619.86,2902.67,,0,0,0,,
039,BINAN,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,
040,RETIRO,,32,15418.85,14525.72,,30,12375.13,11007.13,,30,13801.29,12413.41,,37,21461.37,19709.80,,18,6154.15,5084.82,,47,23629.27,20210.72,,38,21075.70,18405.36,,30,14066.98,12390.18,,34,19071.23,16460.67,,33,16617.99,14161.61,,44,23790.63,20626.80,,28,13319.12,11564.25,,33,14687.00,12239.29,,28,11727.82,9938.38,,50,20791.84,17684.81,,39,17010.98,14476.81,,34,14853.57,12910.05,,33,19865.90,16941.95,,34,12849.71,10880.36,,29,10277.94,9101.79,,40,17130.99,14593.74,,32,17351.30,14783.92,,38,15824.84,13953.57,,42,17517.65,15088.36,,41,21666.27,18545.57,,28,11080.43,9459.82,,34,17051.18,14793.75,,24,10897.05,9557.11,,36,15927.14,13560.91,,33,14887.80,12872.25,,0,0,0,,
044,CDO LIMKETKAI,,2,682.43,603.57,,3,1450.00,1207.14,,4,1826.00,1542.85,,2,1134.00,1012.50,,0,0,0,,3,946.00,713.39,,2,1325.00,1095.54,,5,2501.00,2014.29,,1,237.00,167.86,,3,1001.00,762.50,,2,373.00,245.54,,2,808.00,633.93,,2,2137.00,1820.53,,2,621.00,466.96,,5,2298.00,1833.05,,2,2896.00,2498.21,,4,2541.00,2093.74,,0,0,0,,2,2693.00,2316.96,,2,830.00,653.57,,4,2534.71,2136.62,,4,2181.00,1772.32,,1,385.00,300.00,,3,1620.00,1315.18,,6,2077.71,1619.63,,4,1572.00,1228.57,,2,621.00,466.97,,5,1719.00,1316.07,,3,2637.00,2223.21,,5,2810.00,2290.18,,0,0,0,,
048,CEBU JONES,,20,7480.00,6178.58,,13,4616.72,3986.60,,17,6921.29,5879.47,,19,7669.47,6495.53,,15,4994.00,3879.48,,20,7144.00,5632.13,,10,3448.00,2641.05,,11,7258.00,5999.10,,18,10013.14,8378.55,,10,4163.00,3493.75,,8,2583.00,1956.25,,15,5186.43,4057.15,,19,10744.29,8961.61,,9,4620.29,3861.61,,11,3106.71,2335.71,,14,5195.00,4025.90,,4,1448.00,1117.86,,26,10903.86,8706.26,,12,5563.57,4558.05,,13,4985.29,3982.16,,12,5526.00,4448.21,,4,2818.00,2341.07,,13,5083.28,4121.42,,15,6740.71,5491.07,,6,3022.00,2452.00,,16,6551.43,5182.13,,11,4654.00,3690.39,,19,6191.57,4916.09,,11,5391.78,4494.63,,12,7125.00,5983.05,,0,0,0,,
050,DAVAO BAJADA,,12,4120.00,3284.80,,9,3723.00,3149.11,,10,4061.00,3319.63,,15,5857.51,4992.86,,10,3711.37,2940.64,,4,1739.29,1547.32,,12,4737.72,3849.99,,5,1105.86,800.00,,12,4824.86,3923.20,,5,6917.29,6007.14,,12,5407.00,4581.27,,10,5817.71,4791.07,,5,1879.00,1458.93,,11,2803.71,2158.04,,8,2708.43,2131.25,,10,2734.95,2117.62,,7,3009.00,2480.37,,5,1871.14,1520.54,,12,3757.86,2922.32,,9,3990.57,3256.25,,12,5924.00,4844.65,,8,2855.18,2245.54,,5,1702.86,1333.04,,7,3015.29,2582.15,,7,3426.00,2752.68,,5,1440.86,1099.11,,4,2242.00,1826.78,,8,3111.71,2466.06,,4,2425.14,2060.72,,6,1987.28,1661.61,,0,0,0,,
