,,3-2021 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
003,GREENHILLS,2,607.00,454.47,
005,DAU,24,6989.57,5491.07,
009,GREENBELT,54,19691.27,16261.43,
013,AURORA BLVD.,1,416.00,371.43,
014,ALABANG,164,63670.99,53512.56,
018,MCS,146,57966.83,48872.51,
025,LA SALLE TAFT,233,87687.92,74367.54,
026,COMMONWEALTH,1,181.00,117.86,
028,LAS PINAS,247,94156.89,81362.30,
029,KATIPUNAN,145,56135.04,47265.87,
034,GOVERNOR FORBES,344,124099.78,105428.03,
037,MARCOS HIGHWAY,113,39085.90,34049.96,
038,BACOLOD LACSON,2,98.00,0.00,
040,RETIRO,1,136.86,109.82,
048,CEBU JONES,6,1776.00,1366.96,
061,ANTIPOLO,18,7635.18,6445.54,
063,ANONAS,1,174.00,156.25,
081,WALTERMART DASMARINAS,3,147.00,0.00,
087,CAVITE FELIPE,1,198.00,133.04,
092,SAN PEDRO,421,146527.35,120366.12,
101,SUMULONG,1,212.00,145.54,
116,METROLANE,5,2636.00,2266.08,
125,UP VEGA,2,868.00,731.25,
128,GUADALUPE MALL,295,108279.85,91292.84,
138,GEN LUNA,81,33349.69,28964.27,
140,JP RIZAL,322,117282.37,98004.33,
141,DASMA BAYAN,2,98.00,0.00,
144,VISAYAS AVENUE,71,27278.42,23791.98,
146,CAPAS TARLAC,1,280.00,206.25,
149,SAN JOAQUIN,474,176846.44,148835.20,
164,MUNTINLUPA,267,93162.71,77424.76,
169,PATEROS BAYAN,4,1325.86,1080.35,
172,KABIHASNAN,280,112756.30,94991.87,
174,WEST AVENUE,15,4852.00,3807.12,
178,PACO,257,102427.14,88048.21,
181,RFC MOLINO,130,49956.91,42152.67,
186,BANAUE,1,121.14,90.18,
187,EDSA ROTONDA,238,96053.08,81450.01,
189,TAGAYTAY OLIVAREZ,2,98.00,0.00,
190,BARANGKA,582,207409.19,177982.83,
193,MATALINO,275,99158.53,83188.60,
195,PROJECT 8,252,88448.14,76660.70,
200,TOMAS MORATO,197,70327.12,61289.37,
201,DAVAO ILUSTRE,1,49.00,0.00,
206,MAKATI AVE,146,56599.95,48347.14,
209,MUNOZ,206,74506.78,63814.10,
211,CABUYAO,2,1389.00,1196.43,
216,TIERRA PURA,3,870.71,763.39,
218,EDSA PANAY,76,33730.81,28918.65,
221,KINGSWOOD,294,108068.63,90495.76,
222,TIMES PERPETUAL,5,1398.00,1238.39,
226,AIRPORT ROAD,141,60883.72,51534.39,
228,BUENDIA,195,99202.57,84883.96,
229,REGALADO,136,46337.64,38564.26,
230,PRC STA.ANA,414,153202.30,130054.61,
233,QA BANAWE,7,3771.14,3378.58,
234,STA CRUZ LAGUNA,3,837.00,659.82,
235,GEN. TRIAS,1,523.00,466.96,
243,LAGUNA BEL AIR,70,28870.04,24206.25,
246,EASTWOOD,2,551.00,452.68,
249,MCU,112,45973.00,38896.49,
250,EVANGELISTA,292,101298.57,84440.15,
263,NAGA C/P,2,98.00,0.00,
264,QUIRINO TAFT,67,23851.87,19878.55,
274,CEBU LAPU-LAPU,1,262.00,190.18,
277,CEBU JY,31,10712.57,8910.55,
278,EDSA BONI,66,26608.08,22523.14,
280,CEBU SOUTHROAD,59,20794.86,16837.36,
299,EMERALD SHELL,88,36544.30,30799.08,
301,PEOPLE SUPPORT,3,2266.57,1996.43,
305,BINONDO,187,65077.72,54999.67,
311,SUCAT PALANYAG,320,113857.86,94684.53,
320,CEBU NORTHROAD,1,2323.00,2074.11,
322,NORTHGATE,277,111972.73,94368.25,
327,EDSA IT CENTER,173,61670.14,50506.22,
330,VALERO VERA,88,41397.99,35089.24,
332,TM KALAW,6,1877.00,1500.90,
335,32ND BRIDGESTONE,175,65613.16,54649.03,
338,IMUS CAVITE,205,73219.40,59628.04,
347,MCKINLEY HILL,64,25064.01,20892.79,
351,AMANG RODRIGUEZ,407,144788.20,122152.60,
352,WORLDWIDE CENTER,92,31667.15,25729.45,
356,PUREGOLD AGORA,239,86659.21,72092.60,
358,CEBU TABUNOK,66,21303.85,16770.51,
367,FRONTERA VERDE,153,58831.33,50046.45,
373,Q PLAZA,1,420.00,375.00,
374,TIMOG,138,54903.93,46614.26,
377,C5 METROPOLI,100,44309.29,37387.49,
382,NEWPORT,1,2300.00,2053.57,
383,BSU MALOLOS,1,657.00,586.61,
385,CASIMIRO,52,18866.47,15805.34,
387,WEST FAIRVIEW,3,1631.00,1412.50,
393,MARCOS ANTIPOLO (FILINVEST),4,1816.71,1706.26,
405,NEPO ANGELES,9,2599.00,1926.80,
406,SUMULONG ANTIPOLO,22,7641.57,6148.14,
407,ORTIGAS EXTENSION CAINTA,58,18100.60,14868.75,
417,NEW MOLINO,1,211.57,164.29,
419,NUENO,163,57773.44,47608.04,
424,PIONEER RELIANCE,219,87649.95,73394.40,
430,STO TOMAS,1,581.00,518.75,
433,PONTEVIA (DAANG HARI),1,278.00,204.46,
435,CAINTA POBLACION,266,92083.75,76774.07,
436,PUREGOLD SOUTH PARK,179,70165.51,59932.15,
440,DAVAO STA. ANA,1,49.00,0.00,
441,SOUTHWOODS ECOCENTRUM,5,1898.00,1563.39,
444,PUREGOLD TAGUIG,235,90894.24,76406.07,
445,KARANGALAN,2,897.15,1071.43,
459,DASMA PALA-PALA,2,98.00,0.00,
462,FORTUNATA,117,38365.99,30827.68,
473,THE MACTAN NEWTOWN,17,5916.00,4757.13,
474,HOMEWORKS,1,309.00,232.14,
478,DONA SOLEDAD,621,224335.32,189505.71,
480,CONSOLACION CEBU,6,1543.00,1202.69,
481,JOSE ABAD SANTOS,289,109339.35,93868.71,
483,COMMERCE AVENUE,67,32774.14,28137.44,
489,CONCEPCION MARIKINA,173,56548.84,48811.38,
493,NOVA BAYAN,208,71682.85,59658.71,
494,PULILAN,1,412.00,367.86,
497,PUREGOLD TAGAPO,1,49.00,0.00,
502,ARVO MALL (SALAWAG DASMA),2,98.00,0.00,
504,PADRE FAURA,7,1613.00,1177.70,
505,BLUE BAY WALK,16,11420.00,10021.43,
507,DON ANTONIO,2,1079.00,963.40,
510,SUN MALL-WELCOME ROTONDA,255,95609.28,81873.80,
519,NAVOTAS,238,87628.73,74263.40,
522,SUCAT SAN ANTONIO,314,108897.85,91701.76,
524,ALMANZA,473,173809.99,146172.07,
531,PUREGOLD FTI,326,114863.13,94403.20,
536,TANDANG SORA,165,61975.17,52448.90,
538,C RAYMUNDO,539,201074.38,170848.33,
545,REAL,5,1819.71,1525.90,
547,BINANGONAN,2,610.00,457.14,
552,SHAW CENTER MALL,238,80323.99,67757.65,
556,DINALUPIHAN,1,499.00,445.54,
