,,4-2021 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
547,BINANGONAN,5,1803.00,1480.36,
552,SHAW CENTER MALL,234,84646.86,68875.86,
557,SHAW MG TOWER,210,70807.25,58133.55,
559,ROOSEVELT,123,46118.55,38062.47,
561,MINDANAO CHARBEL,19,7722.85,6468.73,
564,STARMALL SANTA ROSA,4,2600.14,2222.32,
567,PINAGSAMA TAGUIG,223,69853.75,54957.95,
569,CLARK GATE,6,2613.43,2262.50,
571,AS FORTUNA,108,40394.00,31575.03,
574,CAMARIN,1,259.86,219.64,
575,KAWIT CENTENNIAL,205,75210.76,59265.11,
576,ANTLERS DASMA,102,30050.51,23143.75,
578,QH LAGRO,261,104213.60,85899.97,
580,MALOLOS ARCH,3,1629.14,1463.39,
585,BF AGUIRRE,8,2629.27,2399.10,
588,CEBU BUSINESS PARK,13,4078.00,3109.83,
598,MOONWALK,529,209529.31,170799.39,
602,NORTH MOLINO,56,20223.06,16803.58,
608,JUAN LUNA,5,2690.14,2248.21,
612,VALLEY 1,285,106350.68,88832.60,
615,CARMONA,8,3190.00,2498.21,
616,MARCOS ALVAREZ,3,1797.00,1473.21,
617,TIKLING,138,49732.74,39732.07,
618,ANGONO,260,92324.89,72334.78,
626,SILANG HIWAY CAVITE,1,735.00,612.50,
628,PLARIDEL,1,217.00,150.00,
648,PASIG CARUNCHO,429,165207.35,131854.68,
653,CLARK CM RECTO,7,4697.00,3887.51,
654,MALABON RIZAL,125,46251.29,39060.70,
662,JP RIZAL MARIKINA,187,59059.53,48291.88,
663,MAYPAJO,193,72412.03,59267.82,
670,ROBINSONS LUISITA,1,553.00,450.00,
671,MAYAPA CANLUBANG,3,2865.00,2426.79,
673,SAVANO PARK,21,6236.57,4785.73,
675,BELFAST,130,47921.45,39719.68,
683,CALOOCAN 8TH STREET,18,6398.72,5280.35,
685,LANCASTER NEW CITY,182,68592.55,54823.04,
686,RECTO RIZAL AVE,2,386.00,257.14,
689,MADISON ORTIGAS,373,150268.29,126675.93,
691,CROSSROAD,202,80862.60,65876.80,
703,MARIBAGO,56,22506.00,17732.15,
708,MUNTINLUPA HIGHWAY,408,146008.13,117016.67,
718,DIAN,342,125655.62,102489.46,
