,,1-2021 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
009,GREENBELT,94,39334.85,31460.71,
014,ALABANG,147,57697.84,46106.25,
018,MCS,154,61142.83,49269.55,
025,LA SALLE TAFT,299,116551.16,94216.85,
026,COMMONWEALTH,1,605.00,496.43,
028,LAS PINAS,341,132758.68,108036.56,
029,KATIPUNAN,127,49848.36,40488.21,
032,E.RODRIGUEZ,7,5018.14,4248.19,
034,GOVERNOR FORBES,389,143505.92,117307.88,
037,MARCOS HIGHWAY,163,58026.40,48307.10,
040,RETIRO,4,1926.00,1591.08,
048,CEBU JONES,2,471.00,333.04,
061,ANTIPOLO,52,28180.71,23149.11,
063,ANONAS,91,35439.92,29416.07,
072,PHILCOA,2,290.00,171.43,
087,CAVITE FELIPE,1,708.86,654.46,
092,SAN PEDRO,441,166354.14,132320.35,
101,SUMULONG,2,1010.14,893.75,
116,METROLANE,24,10845.29,8777.67,
117,VALENZUELA SOUTH,1,619.00,508.93,
128,GUADALUPE MALL,394,149001.57,118032.18,
129,BOCAUE,1,596.00,488.39,
138,GEN LUNA,75,37033.41,31647.29,
140,JP RIZAL,305,114851.97,92735.81,
141,DASMA BAYAN,1,196.00,131.25,
144,VISAYAS AVENUE,173,64709.04,52951.13,
149,SAN JOAQUIN,525,204939.75,164672.47,
164,MUNTINLUPA,326,118668.43,95183.86,
169,PATEROS BAYAN,2,546.57,451.79,
172,KABIHASNAN,364,140010.59,111544.88,
174,WEST AVENUE,4,946.00,687.50,
178,PACO,395,159396.77,129101.31,
181,RFC MOLINO,214,85763.13,68305.31,
187,EDSA ROTONDA,257,101688.05,81902.91,
190,BARANGKA,786,290897.60,236805.85,
193,MATALINO,359,138549.61,111182.76,
194,LUCENA QA,1,1113.00,950.00,
195,PROJECT 8,274,106116.04,88366.00,
200,TOMAS MORATO,268,96947.87,80737.42,
206,MAKATI AVE,177,84054.57,68844.24,
209,MUNOZ,214,81507.93,66165.11,
215,PEDRO GIL,2,168.00,62.50,
216,TIERRA PURA,1,794.57,813.39,
218,EDSA PANAY,97,37263.63,30314.96,
221,KINGSWOOD,318,115281.73,91782.83,
222,TIMES PERPETUAL,6,1244.29,905.36,
226,AIRPORT ROAD,188,84373.51,68450.04,
228,BUENDIA,257,138154.52,113062.18,
229,REGALADO,174,65813.09,52674.99,
230,PRC STA.ANA,542,194774.16,156414.15,
233,QA BANAWE,6,3095.00,2774.10,
234,STA CRUZ LAGUNA,4,1248.00,939.28,
243,LAGUNA BEL AIR,93,39594.21,31480.37,
246,EASTWOOD,3,1097.00,848.21,
249,MCU,120,44621.66,35241.77,
250,EVANGELISTA,346,134673.01,109753.63,
264,QUIRINO TAFT,141,57753.25,47181.13,
277,CEBU JY,36,14106.00,11019.61,
280,CEBU SOUTHROAD,72,21222.54,16185.72,
299,EMERALD SHELL,104,46416.42,37649.14,
301,PEOPLE SUPPORT,6,3698.00,3039.28,
305,BINONDO,225,88005.43,71818.04,
307,EL PUEBLO,1,1525.00,1317.86,
311,SUCAT PALANYAG,379,143876.37,115233.71,
320,CEBU NORTHROAD,2,545.00,399.11,
322,NORTHGATE,288,117442.43,94045.31,
327,EDSA IT CENTER,160,68912.80,55971.08,
330,VALERO VERA,125,54980.57,43747.32,
335,32ND BRIDGESTONE,209,84407.34,67518.41,
338,IMUS CAVITE,174,63197.73,50102.70,
342,CEBU ESCARIO,2,652.00,494.64,
347,MCKINLEY HILL,5,2607.00,2108.92,
351,AMANG RODRIGUEZ,478,171191.03,136760.20,
352,WORLDWIDE CENTER,155,66063.40,53016.77,
356,PUREGOLD AGORA,1,49.00,0.00,
358,CEBU TABUNOK,65,20002.42,15310.73,
359,TYCOON CENTER,1,498.00,400.89,
367,FRONTERA VERDE,221,90615.77,72989.96,
373,Q PLAZA,1,193.00,128.57,
374,TIMOG,162,58798.58,47255.16,
377,C5 METROPOLI,5,3024.00,2481.25,
383,BSU MALOLOS,1,3384.00,2977.68,
385,CASIMIRO,69,25058.57,20443.74,
387,WEST FAIRVIEW,1,542.00,440.18,
405,NEPO ANGELES,31,10374.14,7942.87,
406,SUMULONG ANTIPOLO,29,11978.57,9482.97,
407,ORTIGAS EXTENSION CAINTA,77,24788.52,19739.26,
411,ANTIPOLO CIRCUMFERENTIAL,3,1119.00,867.86,
417,NEW MOLINO,2,1011.00,815.18,
419,NUENO,257,89976.84,70315.20,
420,NEW CONGRESSIONAL,18,7968.43,6380.92,
424,PIONEER RELIANCE,315,127554.75,102816.92,
426,GRANADA,10,3329.00,2666.97,
432,SUPER 8,4,1531.00,1191.96,
433,PONTEVIA (DAANG HARI),5,1601.43,1316.96,
435,CAINTA POBLACION,300,112100.47,89231.73,
436,PUREGOLD SOUTH PARK,1,281.00,207.14,
441,SOUTHWOODS ECOCENTRUM,1,562.00,458.04,
444,PUREGOLD TAGUIG,268,106958.72,85250.96,
445,KARANGALAN,6,2149.72,1758.94,
454,BLUE RIDGE,4,1851.00,1477.68,
459,DASMA PALA-PALA,3,1459.00,1171.43,
462,FORTUNATA,154,56240.45,44793.80,
473,THE MACTAN NEWTOWN,6,2249.00,1745.54,
478,DONA SOLEDAD,621,233528.68,189564.41,
481,JOSE ABAD SANTOS,341,133095.72,108574.30,
483,COMMERCE AVENUE,204,96802.51,79257.75,
489,CONCEPCION MARIKINA,271,101928.39,84086.64,
493,NOVA BAYAN,237,86562.95,69329.94,
504,PADRE FAURA,7,3556.00,2868.75,
505,BLUE BAY WALK,40,22827.71,18717.81,
508,MCARTHUR MAIMPIS,1,379.00,294.64,
510,SUN MALL-WELCOME ROTONDA,284,107911.65,87140.05,
512,ADRIATICO,1,769.00,642.86,
519,NAVOTAS,357,135804.43,109328.18,
522,SUCAT SAN ANTONIO,516,191359.06,154712.28,
524,ALMANZA,535,199278.89,159154.86,
526,MALABON ESCANILLA,1,406.00,318.75,
531,PUREGOLD FTI,380,143050.78,112590.73,
536,TANDANG SORA,159,65235.59,53343.83,
538,C RAYMUNDO,581,225782.21,181898.04,
545,REAL,4,1449.00,1118.75,
547,BINANGONAN,103,36538.71,28187.58,
552,SHAW CENTER MALL,263,100778.03,81468.57,
557,SHAW MG TOWER,298,101717.84,81315.02,
559,ROOSEVELT,2,1117.00,909.82,
561,MINDANAO CHARBEL,85,32925.61,26891.94,
564,STARMALL SANTA ROSA,1,281.00,207.14,
567,PINAGSAMA TAGUIG,202,68795.26,53416.67,
571,AS FORTUNA,107,36110.57,27713.85,
575,KAWIT CENTENNIAL,142,52940.72,41709.83,
576,ANTLERS DASMA,203,77357.85,60432.14,
578,QH LAGRO,248,105474.38,86348.21,
580,MALOLOS ARCH,3,957.00,723.21,
585,BF AGUIRRE,1,415.43,408.04,
588,CEBU BUSINESS PARK,8,4068.00,3282.15,
598,MOONWALK,519,198349.26,157624.74,
600,UP TOWN CENTER,2,376.00,248.21,
602,NORTH MOLINO,69,26101.15,20883.02,
608,JUAN LUNA,306,112780.67,92140.14,
612,VALLEY 1,269,100296.86,81400.59,
613,NEW PANADEROS EXTENSION,1,902.00,761.61,
615,CARMONA,205,81905.61,65247.84,
616,MARCOS ALVAREZ,8,3545.86,3100.90,
617,TIKLING,271,99950.45,78712.35,
618,ANGONO,115,40428.44,31414.32,
625,DEL MONTE,3,641.00,441.08,
640,QH NOVALICHES,1,84.00,31.25,
648,PASIG CARUNCHO,416,167430.18,133678.12,
653,CLARK CM RECTO,35,20210.00,16513.39,
654,MALABON RIZAL,274,104176.97,83896.98,
656,BACOLOD ARANETA,1,760.00,634.82,
662,JP RIZAL MARIKINA,273,91082.82,73382.78,
663,MAYPAJO,178,67896.13,54693.54,
671,MAYAPA CANLUBANG,9,2657.00,1978.57,
673,SAVANO PARK,52,20291.14,16073.21,
675,BELFAST,137,50663.44,40582.99,
683,CALOOCAN 8TH STREET,38,14752.43,11684.83,
685,LANCASTER NEW CITY,85,27561.57,21050.68,
686,RECTO RIZAL AVE,10,3353.72,2783.93,
689,MADISON ORTIGAS,448,182753.03,151715.44,
691,CROSSROAD,191,69479.16,55026.07,
697,W MALL BAY CITY,1,84.00,31.25,
703,MARIBAGO,30,10716.00,8255.35,
705,SAN LORENZO PLACE,1,84.00,31.25,
708,MUNTINLUPA HIGHWAY,321,111039.66,88833.85,
714,HOLIDAY ISLAND,3,1562.00,1263.39,
718,DIAN,355,146469.12,119881.23,
729,KAPITOLYO PASIG,1,245.00,175.00,
730,MCKINLEY WEST,181,72922.13,57847.87,
744,EASTLAND HEIGHTS COGEO,182,70404.87,55464.15,
747,QA SAN DIONISIO,182,68401.99,54463.81,
760,PEMBO,594,205240.02,159915.32,
762,CAYETANO BOULEVARD,201,78809.14,63652.73,
768,BINAN HIGHWAY,174,57327.43,44180.30,
776,VICAS CAMARIN,347,119340.45,92777.36,
804,SILANG BULIHAN,1,328.00,249.11,
807,HULONG DUHAT,226,78152.17,62220.04,
809,TAYTAY BAYAN,317,110327.38,85892.88,
812,UN DEL PILAR,36,18236.99,15063.39,
813,SINILOAN,9,3831.00,3026.79,
814,SAN PEDRO BAYAN,258,96553.11,76532.06,
815,GUIGUINTO,45,14783.00,11230.38,
