,,4-2020 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
436,PUREGOLD SOUTH PARK,414,232196.37,194830.92,
440,DAVAO STA. ANA,58,23689.00,18650.91,
441,SOUTHWOODS ECOCENTRUM,400,238380.40,199386.99,
442,NAGA MAGSAYSAY,92,38210.00,30130.16,
444,PUREGOLD TAGUIG,297,142616.54,116754.18,
445,KARANGALAN,251,116840.69,96118.36,
449,TARLAC MOTORWAY,240,123541.11,100902.67,
453,LIPA C.M. RECTO,77,46457.04,38204.41,
454,BLUE RIDGE,94,46456.44,38257.99,
455,CABANATUAN BURGOS,51,28230.00,22974.08,
458,ILIGAN SAN MIGUEL,143,61191.00,48454.53,
459,DASMA PALA-PALA,733,434542.33,358073.71,
47,MASANGKAY,38,24996.55,21439.27,
470,SAN PABLO PLAZA,480,297270.29,245609.69,
473,THE MACTAN NEWTOWN,22,11228.00,9062.51,
474,HOMEWORKS,126,63462.22,53414.26,
475,CALICANTO,191,102276.95,84298.46,
478,DONA SOLEDAD,508,268054.92,224433.19,
479,MAGELLANS CROSS,82,37832.00,30212.48,
480,CONSOLACION CEBU,329,164820.35,133814.70,
481,JOSE ABAD SANTOS,173,77012.04,63332.08,
485,ETON CENTRIS,30,17072.85,14028.58,
488,ANGELES INTERSECTION,170,77041.99,61837.10,
489,CONCEPCION MARIKINA,404,187643.82,154135.11,
493,NOVA BAYAN,190,97444.61,82073.14,
494,PULILAN,214,117983.60,97773.16,
499,UPANG,122,64109.57,52171.17,
505,BLUE BAY WALK,115,77856.35,64911.55,
507,DON ANTONIO,35,16768.78,13598.20,
508,MCARTHUR MAIMPIS,287,154903.10,126941.02,
519,NAVOTAS,302,137882.18,112872.01,
520,TANAY,228,130477.25,107591.12,
522,SUCAT SAN ANTONIO,264,134128.81,111647.12,
524,ALMANZA,145,78327.86,64638.20,
525,ILOILO BUSINESS PARK,139,62712.86,50147.26,
531,PUREGOLD FTI,822,415958.43,340111.52,
536,TANDANG SORA,82,40366.33,33177.65,
538,C RAYMUNDO,307,176884.00,147329.24,
540,TANZA TUGUEGARAO,87,37473.00,29651.80,
542,MART ONE,82,38983.43,31298.10,
544,SOUTH COAST CENTER,269,149691.81,123980.81,
546,MCARTHUR BOCAUE,306,175866.53,145466.94,
547,BINANGONAN,606,331387.46,271212.95,
548,CB MALL,68,33544.00,27049.54,
549,LINGAYEN,53,27508.86,22413.42,
552,SHAW CENTER MALL,689,385221.40,321308.88,
556,DINALUPIHAN,118,77638.14,64245.57,
557,SHAW MG TOWER,6,6272.00,5405.36,
560,MATINA CROSSING,526,246610.73,198399.72,
561,MINDANAO CHARBEL,8,5242.00,4380.35,
564,STARMALL SANTA ROSA,170,127499.99,107524.54,
567,PINAGSAMA TAGUIG,376,157712.51,125865.85,
569,CLARK GATE,109,52353.29,42073.20,
571,AS FORTUNA,146,60290.80,48665.14,
574,CAMARIN,235,146562.85,122809.46,
575,KAWIT CENTENNIAL,303,164597.76,135177.16,
576,ANTLERS DASMA,172,87736.97,71575.88,
577,BALANGA DIVERSION,31,18056.14,14912.23,
578,QH LAGRO,88,61665.16,51863.55,
579,DAVAO PAMPANGA,125,71071.01,58865.67,
580,MALOLOS ARCH,146,86468.96,71543.88,
582,TAMBO LIPA,61,37325.58,30970.52,
592,TACLOBAN REAL,246,98576.29,77375.49,
595,DAVAO BUHANGIN,167,79093.74,63941.03,
596,ZAMBOANGA GUIWAN,118,62704.71,51078.52,
598,MOONWALK,252,149194.27,124094.47,
608,JUAN LUNA,67,30018.39,24436.41,
610,JP LAUREL,63,38721.82,32206.22,
612,VALLEY 1,335,162517.50,135870.87,
613,NEW PANADEROS EXTENSION,126,60826.39,49648.43,
614,ORMOC,28,10961.00,8574.05,
615,CARMONA,352,207079.75,170291.59,
616,MARCOS ALVAREZ,857,451021.59,375411.67,
617,TIKLING,404,232081.15,192701.63,
618,ANGONO,831,441069.59,362589.67,
619,GREGORIAN,220,96829.57,77085.65,
626,SILANG HIWAY CAVITE,372,221041.69,182519.67,
628,PLARIDEL,176,91623.62,74898.23,
629,DIPOLOG,30,11565.00,9013.37,
631,TANAUAN HIGHWAY,157,113336.86,94765.09,
636,ZAMBOANGA GUSU,142,70559.14,56835.47,
640,QH NOVALICHES,102,56882.04,46988.41,
641,JA CLARIN,75,29520.14,23121.42,
644,ROSARIO BATANGAS,49,32907.00,27312.50,
646,KJC COMPOUND,24,12412.85,10097.32,
648,PASIG CARUNCHO,709,362486.58,297227.45,
649,CAUAYAN,39,20672.00,16761.17,
652,STA. CLARA,352,207245.21,170796.15,
653,CLARK CM RECTO,78,43829.00,35720.56,
654,MALABON RIZAL,105,49562.56,40731.74,
656,BACOLOD ARANETA,126,64118.01,52028.55,
661,CDO HIGHWAY,75,31866.53,25491.03,
662,JP RIZAL MARIKINA,434,197128.18,162473.48,
663,MAYPAJO,53,25859.00,21541.11,
670,ROBINSONS LUISITA,350,196002.56,160151.84,
673,SAVANO PARK,308,168100.24,138005.02,
675,BELFAST,52,26778.27,21925.90,
676,PRIMARK GUIMBA,7,5435.86,4669.64,
678,ABAD SANTOS HERMOSA,173,96227.43,79900.64,
681,MARAWOY,58,34824.57,28596.25,
685,LANCASTER NEW CITY,424,222001.59,182111.92,
689,MADISON ORTIGAS,704,423017.60,358670.94,
691,CROSSROAD,72,36495.82,29696.07,
693,CALBAYOG GAISANO,64,37587.14,30804.47,
707,LAOAG BACARRA,84,51135.36,42279.10,
708,MUNTINLUPA HIGHWAY,332,165566.84,136012.38,
711,GAISANO MALL TORIL,190,96292.06,78107.44,
716,PISON AVENUE,70,33999.53,27387.63,
718,DIAN,767,377920.07,307683.32,
720,NAGA ROXAS AVE,71,30318.37,24141.96,
725,APALIT,376,218758.01,179874.32,
726,NEW SAN MATEO,424,233451.69,194014.55,
727,ROBINSONS PAVIA,155,81557.03,66471.95,
730,MCKINLEY WEST,592,345852.80,286804.49,
740,TELABASTAGAN DT,82,50306.71,41978.56,
741,ROXAS ARNALDO,11,4744.00,3754.49,
742,MALASIQUI,37,22974.72,18960.74,
743,PANABO,41,20459.00,16473.21,
744,EASTLAND HEIGHTS COGEO,204,118090.82,98150.83,
748,PANIQUI,95,45528.93,36791.55,
750,DIGOS,202,119668.28,98216.20,
751,BAHAYANG PAGASA,324,170847.29,139898.89,
754,CDO GUSA,88,43250.86,34799.99,
756,PASEO ARCENAS,134,58727.93,47080.31,
757,SAN JUAN BATANGAS,36,15506.86,12310.72,
760,PEMBO,906,425976.90,344190.79,
762,CAYETANO BOULEVARD,616,329019.67,270163.69,
764,SAN MIGUEL,40,24047.86,19798.92,
765,PILI CAMSUR,88,41922.71,33778.89,
766,FRIENDSHIP HIGHWAY,66,33565.43,27192.43,
768,BINAN HIGHWAY,546,320619.22,265095.96,
771,BINALONAN,51,36039.00,30112.50,
772,NANGKA MARIKINA,125,55587.04,45730.78,
776,VICAS CAMARIN,184,98067.48,81003.51,
782,SHELL BROOKSIDE CAINTA,24,14131.86,11641.98,
785,MEXICO,219,102381.43,81961.54,
786,GUAGUA PAMPANGA,64,35751.86,29161.13,
798,BALANGA CAPITOL,120,67321.15,55439.34,
804,SILANG BULIHAN,468,292337.50,242180.64,
807,HULONG DUHAT,172,94685.29,78563.13,
809,TAYTAY BAYAN,409,211007.11,172596.56,
812,UN DEL PILAR,132,100434.71,84394.23,
,Total,65882,34959758.69,28811572.73,
