,,3-2020 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
003,GREENHILLS,330,150365.51,122754.18,
005,DAU,310,121715.01,95359.02,
008,QUEZON AVE,237,84282.39,69339.72,
009,GREENBELT,687,338916.49,276503.59,
010,ROXAS BOULEVARD BACLARAN,98,46066.43,38434.80,
013,AURORA BLVD.,248,94164.66,76965.83,
014,ALABANG,981,654516.91,550813.86,
018,MCS,1064,475285.88,384249.43,
025,LA SALLE TAFT,798,374770.93,304615.51,
026,COMMONWEALTH,326,160230.56,133043.81,
028,LAS PINAS,1106,502936.09,418277.37,
029,KATIPUNAN,582,272167.87,224535.30,
030,SAN FERNANDO DOLORES,364,182037.70,147700.36,
032,E.RODRIGUEZ,409,185570.55,154567.50,
034,GOVERNOR FORBES,475,193110.40,157012.07,
035,TARLAC ROMULO,469,224468.80,181512.50,
037,MARCOS HIGHWAY,308,136751.77,113155.86,
038,BACOLOD LACSON,201,74229.08,58340.26,
039,BINAN,177,72002.16,57610.53,
040,RETIRO,497,243742.16,206369.18,
044,CDO LIMKETKAI,181,73115.00,57505.29,
048,CEBU JONES,425,171312.54,135261.34,
050,DAVAO BAJADA,363,129924.72,101062.83,
060,MARKET SQUARE DAGUPAN,136,65419.43,52807.08,
061,ANTIPOLO,518,211123.79,169762.34,
063,ANONAS,467,188938.85,155252.21,
068,SAN FERNANDO 2,135,73171.15,59914.10,
072,PHILCOA,297,128489.57,106720.26,
075,CABANATUAN,216,99691.72,80005.81,
077,BALIUAG,209,106295.67,86549.27,
087,CAVITE FELIPE,544,233971.50,192287.76,
092,SAN PEDRO,748,321209.37,263685.44,
094,TARLAC HI-WAY,371,164081.27,132322.45,
101,SUMULONG,407,158532.88,130482.78,
106,CDO DIVISORIA,361,151914.01,120708.72,
108,ANGELES,38,18702.00,15050.19,
116,METROLANE,393,184593.88,153884.35,
117,VALENZUELA SOUTH,671,295482.13,242457.03,
119,MINDANAO AVENUE,521,241531.05,201124.49,
125,UP VEGA,193,77895.15,61439.68,
128,GUADALUPE MALL,873,384999.78,311544.78,
129,BOCAUE,290,158194.99,129124.05,
131,C & B MARIKINA,604,235154.06,192958.23,
138,GEN LUNA,407,186010.58,151519.48,
140,JP RIZAL,561,238752.73,192948.04,
141,DASMA BAYAN,343,140837.85,112468.57,
144,VISAYAS AVENUE,484,212128.76,174929.54,
146,CAPAS TARLAC,240,130955.86,106693.33,
149,SAN JOAQUIN,497,243539.42,199675.84,
150,CARMEN,90,55591.00,45973.91,
158,STA CRUZ CHURCH,158,95923.59,80952.72,
164,MUNTINLUPA,378,166929.93,137042.04,
169,PATEROS BAYAN,196,84682.94,68455.87,
172,KABIHASNAN,657,318748.21,260589.48,
174,WEST AVENUE,372,162116.98,133534.57,
176,MARY MART ILOILO,82,30558.58,24103.55,
178,PACO,299,112068.99,90385.17,
179,LEMERY,216,114912.99,94899.59,
181,RFC MOLINO,321,136697.83,110436.35,
183,WALTERMART CALAMBA,136,63680.13,51561.36,
186,BANAUE,259,104782.34,85717.71,
187,EDSA ROTONDA,581,259260.27,209911.02,
189,TAGAYTAY OLIVAREZ,122,59523.28,48415.36,
