,,1-2018 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
454,BLUE RIDGE,449,161932.92,132202.61,
459,DASMA PALA-PALA,1,242.00,180.36,
460,SUMULONG SAN ISIDRO,370,125811.85,101593.67,
462,FORTUNATA,692,234058.89,186326.77,
467,CEBU NORTH RECLAMATION,216,76253.00,60368.77,
47,MASANGKAY,127,42460.03,35532.15,
474,HOMEWORKS,319,104892.11,84657.14,
478,DONA SOLEDAD,879,319034.85,260026.93,
480,CONSOLACION CEBU,166,55439.45,43800.02,
481,JOSE ABAD SANTOS,307,106464.41,87781.34,
483,COMMERCE AVENUE,326,140727.72,115594.69,
485,ETON CENTRIS,112,52414.86,43258.95,
488,ANGELES INTERSECTION,316,112857.29,89561.70,
489,CONCEPCION MARIKINA,475,154066.93,124866.00,
493,NOVA BAYAN,420,154465.18,126030.43,
497,PUREGOLD TAGAPO,228,74423.99,58708.91,
504,PADRE FAURA,635,242444.07,194971.41,
505,BLUE BAY WALK,553,386777.21,327024.05,
507,DON ANTONIO,414,150607.21,122950.03,
509,UST P. NOVAL,495,155568.51,122958.09,
510,SUN MALL-WELCOME ROTONDA,378,117681.71,94182.13,
519,NAVOTAS,203,81416.84,67071.40,
522,SUCAT SAN ANTONIO,388,142544.37,115337.49,
524,ALMANZA,363,119511.99,96119.54,
531,PUREGOLD FTI,341,124478.43,100524.07,
536,TANDANG SORA,2,857.00,693.75,
538,C RAYMUNDO,1156,391458.45,316384.04,
539,TAYUMAN,244,102810.41,83675.97,
545,REAL,325,111478.81,89782.17,
547,BINANGONAN,127,44509.72,35291.05,
552,SHAW CENTER MALL,374,133753.48,109198.11,
554,10th AVENUE,253,93771.14,76695.50,
559,ROOSEVELT,265,85888.32,69439.26,
560,MATINA CROSSING,1,497.00,408.04,
565,LUZON COMMONWEALTH,291,111523.50,91569.60,
567,PINAGSAMA TAGUIG,247,76008.42,59833.02,
569,CLARK GATE,187,87762.57,71739.36,
571,AS FORTUNA,329,108660.56,85625.06,
574,CAMARIN,299,98334.43,78515.20,
576,ANTLERS DASMA,176,66241.42,52971.45,
578,QH LAGRO,436,164583.88,135064.28,
579,DAVAO PAMPANGA,2,623.00,484.82,
583,BALIBAGO,98,35331.28,28575.88,
588,CEBU BUSINESS PARK,298,111210.86,88757.10,
598,MOONWALK,597,223273.52,180861.46,
600,UP TOWN CENTER,248,81827.69,65703.52,
608,JUAN LUNA,233,80802.87,65506.25,
612,VALLEY 1,303,100608.12,80971.50,
615,CARMONA,74,25594.14,20497.29,
616,MARCOS ALVAREZ,242,84674.51,68351.82,
617,TIKLING,426,143521.19,114844.64,
618,ANGONO,240,80259.15,63987.44,
648,PASIG CARUNCHO,286,97737.01,78565.15,
654,MALABON RIZAL,338,121241.15,98755.37,
662,JP RIZAL MARIKINA,118,41566.99,33808.03,
671,MAYAPA CANLUBANG,17,8061.00,6590.20,
,Total,65605,23973557.85,19395706.48,
