,,4-2021 Breakfast Monthly Report
store_code,store_name,tc,sales,net_sales,
003,GREENHILLS,200,93932.44,79030.98,
005,DAU,89,37320.99,30028.59,
008,QUEZON AVE,65,33843.13,28329.32,
009,GREENBELT,290,123816.28,101505.27,
013,AURORA BLVD.,233,100029.31,83597.36,
014,ALABANG,472,216459.37,179736.42,
018,MCS,341,147943.33,121660.00,
025,LA SALLE TAFT,400,186166.40,156078.75,
026,COMMONWEALTH,359,175073.75,146729.59,
028,LAS PINAS,556,223080.50,193455.78,
029,KATIPUNAN,290,130097.83,109882.89,
030,SAN FERNANDO DOLORES,107,52739.10,43949.10,
032,E.RODRIGUEZ,235,92483.90,78252.12,
034,GOVERNOR FORBES,494,183079.07,153684.78,
035,TARLAC ROMULO,159,74532.98,61082.42,
037,MARCOS HIGHWAY,324,118733.05,99225.80,
038,BACOLOD LACSON,42,22022.57,18116.07,
040,RETIRO,298,129881.62,112100.87,
044,CDO LIMKETKAI,29,13878.14,11318.74,
048,CEBU JONES,101,41384.32,33508.04,
050,DAVAO BAJADA,70,24202.43,19332.59,
060,MARKET SQUARE DAGUPAN,67,25585.66,20220.53,
061,ANTIPOLO,659,275062.48,225663.81,
063,ANONAS,274,106841.79,88323.62,
072,PHILCOA,49,18295.69,15333.04,
075,CABANATUAN,123,50663.91,40641.34,
077,BALIUAG,462,192228.20,155238.68,
081,WALTERMART DASMARINAS,216,89365.42,72175.61,
087,CAVITE FELIPE,1001,411878.20,334115.47,
092,SAN PEDRO,942,395874.66,331955.94,
094,TARLAC HI-WAY,126,48879.71,39313.26,
101,SUMULONG,374,139215.13,116860.14,
108,ANGELES,121,47078.90,37486.67,
116,METROLANE,304,119725.27,99854.47,
117,VALENZUELA SOUTH,498,247823.18,211785.93,
125,UP VEGA,655,280006.21,225861.49,
128,GUADALUPE MALL,375,162975.37,135683.62,
129,BOCAUE,469,213562.64,174613.04,
131,C & B MARIKINA,476,202896.87,174295.53,
133,SAN PABLO,412,195030.41,161329.00,
138,GEN LUNA,139,64975.57,53735.76,
140,JP RIZAL,457,179531.82,146897.20,
141,DASMA BAYAN,561,249137.49,204559.01,
144,VISAYAS AVENUE,330,142256.43,118790.16,
146,CAPAS TARLAC,319,184152.72,152794.64,
149,SAN JOAQUIN,402,168413.83,138345.63,
150,CARMEN,182,100460.15,82553.58,
157,TARLAC TOWN CENTER,52,23082.65,18750.89,
158,STA CRUZ CHURCH,84,39410.28,32595.07,
164,MUNTINLUPA,572,245212.01,203448.96,
169,PATEROS BAYAN,283,110748.56,91366.46,
172,KABIHASNAN,240,101076.98,83333.74,
174,WEST AVENUE,209,86201.44,70617.82,
176,MARY MART ILOILO,13,4167.00,3151.79,
178,PACO,549,242474.36,204843.69,
179,LEMERY,404,212613.50,174528.41,
181,RFC MOLINO,545,226918.66,185751.28,
182,TANAUAN,159,70676.28,56869.71,
183,WALTERMART CALAMBA,47,17759.86,13980.54,
186,BANAUE,70,32832.94,28934.25,
187,EDSA ROTONDA,180,68625.70,56669.31,
189,TAGAYTAY OLIVAREZ,188,83359.18,66734.81,
